Execution,HD_P1,HD_P2,HD_BM,Succ_Crossover_ratio,Succ_Mutation_ratio,NFHT
1,0.0,0.0,0.125,0.0,0.15,1.0
2,0.0,0.0,0.25,0.0,0.0525,0.9
3,0.0,0.0,0.25,0.0,0.07,0.95
4,0.0,0.0,0.125,0.0,0.0675,0.85
5,0.0,0.0,0.25,0.0,0.095,0.9
6,0.0,0.0,0.25,0.0,0.0225,0.95
7,0.0,0.0,0.25,0.0,0.0475,0.7
8,0.0,0.0,0.125,0.0,0.0675,0.75
9,0.0,0.0,0.25,0.0,0.095,0.9
10,0.0,0.0,0.125,0.0,0.0425,0.85
11,0.0,0.0,0.125,0.0,0.08,0.75
12,0.0,0.0,0.125,0.0,0.05,0.85
13,0.0,0.0,0.125,0.0,0.0825,0.8
14,0.0,0.0,0.125,0.0,0.075,0.7
15,0.0,0.0,0.125,0.0,0.0525,0.55
16,0.0,0.0,0.25,0.0,0.0725,0.85
17,0.0,0.0,0.125,0.0,0.105,0.95
18,0.0,0.0,0.125,0.0,0.115,0.3
19,0.0,0.0,0.125,0.0,0.04,0.8
20,0.0,0.0,0.25,0.0,0.0575,0.65
21,0.0,0.0,0.125,0.0,0.11,0.95
22,0.0,0.0,0.125,0.0,0.0825,0.6
23,0.0,0.0,0.25,0.0,0.08,0.55
24,0.0,0.0,0.25,0.0,0.1,0.9
25,0.0,0.0,0.25,0.0,0.095,1.0
26,0.0,0.0,0.125,0.0,0.0675,0.95
27,0.0,0.0,0.125,0.0,0.065,0.75
28,-1.0,-1.0,-1.0,0.0,0.0175,0.85
29,0.0,0.0,0.125,0.0,0.0675,0.95
30,0.0,0.0,0.125,0.0,0.0625,0.15
Mean,-0.03333333333333333,-0.03333333333333333,0.13333333333333333,0.0,0.07291666666666667,0.7866666666666666
Std,0.17950549357115014,0.17950549357115014,0.21874007914011145,0.0,0.02754604730668671,0.19576062480034698
