Execution,HD_P1,HD_P2,HD_BM,Succ_Crossover_ratio,Succ_Mutation_ratio,NFHT
1,0.25,0.25,0.0,0.2025,0.115,0.55
2,0.125,0.25,0.25,0.1,0.055,0.45
3,0.25,0.375,0.0,0.2425,0.09,0.25
4,0.25,0.125,0.0,0.23,0.07,0.5
5,0.25,0.125,0.25,0.2775,0.0925,0.5
6,0.375,0.125,0.0,0.2125,0.065,0.7
7,0.375,0.25,0.0,0.235,0.0525,0.6
8,0.125,0.5,0.0,0.2625,0.0775,0.3
9,0.125,0.125,0.25,0.225,0.075,0.55
10,0.25,0.25,0.0,0.2425,0.0825,0.35
11,0.375,0.25,0.0,0.17,0.0625,0.6
12,0.25,0.25,0.0,0.2475,0.1125,0.3
13,0.25,0.125,0.0,0.22,0.0975,0.45
14,0.125,0.375,0.25,0.1925,0.07,0.6
15,0.0,0.125,0.25,0.23,0.0625,0.7
16,0.125,0.5,0.0,0.24,0.0875,0.65
17,0.0,0.125,0.375,0.0925,0.06,0.65
18,0.25,0.125,0.0,0.1875,0.07,0.5
19,0.125,0.125,0.0,0.1825,0.055,0.55
20,0.0,0.25,0.25,0.1275,0.0625,0.7
21,0.375,0.125,0.0,0.23,0.065,0.4
22,0.375,0.125,0.0,0.21,0.05,0.65
23,0.375,0.25,0.0,0.2125,0.0725,0.35
24,0.125,0.25,0.0,0.155,0.065,0.7
25,0.625,0.0,0.25,0.2525,0.095,0.55
26,0.125,0.25,0.25,0.2175,0.075,0.7
27,0.125,0.125,0.0,0.1475,0.0725,0.3
28,0.125,0.25,0.25,0.2,0.0775,0.75
29,0.25,0.25,0.25,0.2125,0.0925,0.55
30,0.375,0.125,0.0,0.225,0.09,0.15
Mean,0.225,0.2125,0.09583333333333334,0.20608333333333337,0.07566666666666665,0.5183333333333333
Std,0.13844373104863458,0.11249999999999999,0.12781551375148306,0.044157310329724066,0.016531955587756567,0.15571519586161853
