counts,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
NONE_MNUF,0,0,2,0,1,0,2,2,1,1,6,1,0,1
NONE_MPOLY,0,1,1,5,1,1,8,8,1,9,9,0,3,14
SBX_MNUF,2,1,2,7,0,1,2,4,2,2,6,2,3,6
SBX_MPOLY,1,8,2,10,4,3,15,21,2,19,26,3,15,34
SBX_NONE,1,1,1,3,0,0,4,2,0,2,4,1,2,3
SPC_MNUF,0,1,2,6,0,1,6,5,4,5,8,5,2,9
SPC_MPOLY,0,5,3,20,3,2,32,42,2,30,58,7,28,59
SPC_NONE,0,6,2,16,4,12,48,78,6,30,89,7,41,102
TPC_MNUF,1,1,3,2,1,3,2,3,0,3,12,1,5,7
TPC_MPOLY,3,5,4,13,1,6,27,39,4,31,45,4,22,63
TPC_NONE,0,10,3,37,1,10,54,91,7,42,108,14,63,138
UC_MNUF,0,1,1,5,1,3,6,7,4,6,9,5,2,9
UC_MPOLY,5,5,1,17,0,1,27,40,2,24,63,6,29,60
UC_NONE,4,16,7,24,4,8,57,98,11,62,138,9,64,149
