HV,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
NONE_MNUF,0.000000,0.000000,0.117647,0.000000,0.058824,0.000000,0.117647,0.117647,0.058824,0.058824,0.352941,0.058824,0.000000,0.058824
NONE_MPOLY,0.000000,0.016393,0.016393,0.081967,0.016393,0.016393,0.131148,0.131148,0.016393,0.147541,0.147541,0.000000,0.049180,0.229508
SBX_MNUF,0.050000,0.025000,0.050000,0.175000,0.000000,0.025000,0.050000,0.100000,0.050000,0.050000,0.150000,0.050000,0.075000,0.150000
SBX_MPOLY,0.006135,0.049080,0.012270,0.061350,0.024540,0.018405,0.092025,0.128834,0.012270,0.116564,0.159509,0.018405,0.092025,0.208589
SBX_NONE,0.041667,0.041667,0.041667,0.125000,0.000000,0.000000,0.166667,0.083333,0.000000,0.083333,0.166667,0.041667,0.083333,0.125000
SPC_MNUF,0.000000,0.018519,0.037037,0.111111,0.000000,0.018519,0.111111,0.092593,0.074074,0.092593,0.148148,0.092593,0.037037,0.166667
SPC_MPOLY,0.000000,0.017182,0.010309,0.068729,0.010309,0.006873,0.109966,0.144330,0.006873,0.103093,0.199313,0.024055,0.096220,0.202749
SPC_NONE,0.000000,0.013605,0.004535,0.036281,0.009070,0.027211,0.108844,0.176871,0.013605,0.068027,0.201814,0.015873,0.092971,0.231293
TPC_MNUF,0.022727,0.022727,0.068182,0.045455,0.022727,0.068182,0.045455,0.068182,0.000000,0.068182,0.272727,0.022727,0.113636,0.159091
TPC_MPOLY,0.011236,0.018727,0.014981,0.048689,0.003745,0.022472,0.101124,0.146067,0.014981,0.116105,0.168539,0.014981,0.082397,0.235955
TPC_NONE,0.000000,0.017301,0.005190,0.064014,0.001730,0.017301,0.093426,0.157439,0.012111,0.072664,0.186851,0.024221,0.108997,0.238754
UC_MNUF,0.000000,0.016949,0.016949,0.084746,0.016949,0.050847,0.101695,0.118644,0.067797,0.101695,0.152542,0.084746,0.033898,0.152542
UC_MPOLY,0.017857,0.017857,0.003571,0.060714,0.000000,0.003571,0.096429,0.142857,0.007143,0.085714,0.225000,0.021429,0.103571,0.214286
UC_NONE,0.006144,0.024578,0.010753,0.036866,0.006144,0.012289,0.087558,0.150538,0.016897,0.095238,0.211982,0.013825,0.098310,0.228879
