counts,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SPC_MPOLY,TPC_MPOLY,UC_MPOLY
NONE_MNUF,0,2,0,0,0,0,0
NONE_MPOLY,0,2,0,20,1,2,2
SBX_MNUF,0,0,780,543,0,1,0
SBX_MPOLY,0,10,544,1013,5,7,7
SPC_MPOLY,0,1,0,9,0,0,0
TPC_MPOLY,0,0,0,10,0,0,0
UC_MPOLY,0,2,0,8,0,0,1
