GD,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
NONE_MNUF,0.285246,0.013115,0.186885,0.014754,0.050820,0.129508,0.004918,0.000000,0.142623,0.009836,0.001639,0.149180,0.008197,0.003279
NONE_MPOLY,0.125000,0.050000,0.150000,0.025000,0.075000,0.200000,0.025000,0.000000,0.200000,0.025000,0.000000,0.100000,0.025000,0.000000
SBX_MNUF,0.210317,0.035714,0.198413,0.025794,0.053571,0.146825,0.007937,0.001984,0.154762,0.007937,0.001984,0.134921,0.015873,0.003968
SBX_MPOLY,0.169492,0.067797,0.101695,0.050847,0.101695,0.186441,0.050847,0.000000,0.084746,0.016949,0.000000,0.101695,0.067797,0.000000
SBX_NONE,0.063197,0.022305,0.107807,0.014870,0.531599,0.040892,0.037175,0.007435,0.081784,0.018587,0.011152,0.044610,0.014870,0.003717
SPC_MNUF,0.217391,0.028986,0.147343,0.012077,0.038647,0.159420,0.007246,0.007246,0.185990,0.012077,0.002415,0.171498,0.002415,0.007246
SPC_MPOLY,0.114286,0.085714,0.085714,0.114286,0.114286,0.114286,0.114286,0.000000,0.057143,0.142857,0.000000,0.028571,0.028571,0.000000
SPC_NONE,0.000000,0.000000,0.100000,0.000000,0.200000,0.100000,0.000000,0.100000,0.000000,0.000000,0.100000,0.200000,0.100000,0.100000
TPC_MNUF,0.165563,0.026490,0.187638,0.022075,0.035320,0.116998,0.011038,0.002208,0.187638,0.004415,0.000000,0.218543,0.019868,0.002208
TPC_MPOLY,0.075000,0.050000,0.150000,0.050000,0.150000,0.125000,0.025000,0.000000,0.075000,0.200000,0.050000,0.025000,0.025000,0.000000
TPC_NONE,0.000000,0.000000,0.200000,0.000000,0.200000,0.200000,0.000000,0.000000,0.000000,0.200000,0.000000,0.100000,0.100000,0.000000
UC_MNUF,0.212815,0.018307,0.187643,0.009153,0.020595,0.194508,0.002288,0.004577,0.171625,0.009153,0.002288,0.160183,0.006865,0.000000
UC_MPOLY,0.000000,0.105263,0.184211,0.078947,0.078947,0.131579,0.052632,0.000000,0.052632,0.078947,0.000000,0.184211,0.026316,0.026316
UC_NONE,0.000000,0.000000,0.090909,0.090909,0.181818,0.272727,0.181818,0.000000,0.090909,0.000000,0.000000,0.090909,0.000000,0.000000
