counts,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
NONE_MNUF,174,8,114,9,31,79,3,0,87,6,1,91,5,2
NONE_MPOLY,10,4,12,2,6,16,2,0,16,2,0,8,2,0
SBX_MNUF,106,18,100,13,27,74,4,1,78,4,1,68,8,2
SBX_MPOLY,10,4,6,3,6,11,3,0,5,1,0,6,4,0
SBX_NONE,17,6,29,4,143,11,10,2,22,5,3,12,4,1
SPC_MNUF,90,12,61,5,16,66,3,3,77,5,1,71,1,3
SPC_MPOLY,4,3,3,4,4,4,4,0,2,5,0,1,1,0
SPC_NONE,0,0,1,0,2,1,0,1,0,0,1,2,1,1
TPC_MNUF,75,12,85,10,16,53,5,1,85,2,0,99,9,1
TPC_MPOLY,3,2,6,2,6,5,1,0,3,8,2,1,1,0
TPC_NONE,0,0,2,0,2,2,0,0,0,2,0,1,1,0
UC_MNUF,93,8,82,4,9,85,1,2,75,4,1,70,3,0
UC_MPOLY,0,4,7,3,3,5,2,0,2,3,0,7,1,1
UC_NONE,0,0,1,1,2,3,2,0,1,0,0,1,0,0
