ID,Seed,Execution,Generation,isChild,isMutant,Integer_encoding,Genotype,Crossover type,Mutation type,Search strategy,Epochs,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params,P1_idx,P2_idx,P1,P2,Before_Mut,HD_P1,HD_P2,HD_BM,Succ_Crossover,Succ_Mutation,Was_invalid
UXER-QCVY(1)[M]-SDVW-QDKA(2)[M](2)[M]-SDVW-QDKA(1)[M]-QDKA-QCVY(2)[M](2)[M](1),2,2,3,True,False,"[1, 0, 0, 1, 1, 1, 2, -1, 1, 1, 3, 1, 1, 2, 0, 2, -1, 0, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,5,0.766099989,0.74017024,124279262,17.69376898,1168074,UXER-QCVY(1)[M]-SDVW-QDKA(2)[M](2)[M],SDVW-QDKA(1)[M]-QDKA-QCVY(2)[M](2)[M],"[1, 0, 0, 1, 2, 1, 2, -1, 1, 1, 3, 0, 1, 2, 0, 2, -1, 0, 5, 1, 0, 5, 0, 3]","[1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 0, 1, 1, 2, 1, 5, 1, 0, 5, 0, 3]",NONE,2,7,-1,0,0,False
UXER-QCVY(1)[M]-SDVW-QDKA(2)[M](2)[M]-SDVW-QDKA(1)[M]-QDKA-QCVY(2)[M](2)[M](2),2,2,3,True,False,"[1, 0, 0, 1, 2, 1, 1, 1, 1, 1, 3, 0, 1, 0, 1, 1, 2, 1, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [128, 5]}, {'CONV': [64, 5]}, {'CONV': [256, 3]}, {'CONV': [32, 5]}, {'CONV': [128, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,4,0.100000001,2.302594423,798131550,32.36786723,17541994,UXER-QCVY(1)[M]-SDVW-QDKA(2)[M](2)[M],SDVW-QDKA(1)[M]-QDKA-QCVY(2)[M](2)[M],"[1, 0, 0, 1, 2, 1, 2, -1, 1, 1, 3, 0, 1, 2, 0, 2, -1, 0, 5, 1, 0, 5, 0, 3]","[1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 0, 1, 1, 2, 1, 5, 1, 0, 5, 0, 3]",NONE,7,2,-1,0,0,False
SDVW-QDKA(1)[M]-QDKA-QCVY(2)[M](1)[M],2,2,3,False,False,"[1, 3, 1, 1, 3, 0, 1, 2, 1, 1, 3, 0, 1, 0, 1, 1, 2, 0, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [256, 3]}, {'CONV': [128, 5]}, {'CONV': [256, 3]}, {'CONV': [32, 5]}, {'CONV': [128, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,4,0.100000001,2.302603245,2029274462,47.06194663,18744490,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,False
UXER-QCVY(1)[M]-SDVW-QDKA(2)[M](1)[M],2,2,3,False,False,"[1, 3, 0, 1, 1, 1, 1, 1, 1, 1, 2, 0, 1, 2, 1, 2, -1, 1, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 3]}, {'CONV': [64, 5]}, {'CONV': [64, 5]}, {'CONV': [128, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,5,0.710699975,0.90525496,1028318814,36.19469476,2642698,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,False
SDVW-QDKA(1)[M]-QDKA-QCVY(2)[M](1)[M]-UXER-QCVY(1)[M]-SDVW-QDKA(2)[M](1)[M](1),2,2,3,True,False,"[1, 3, 0, 1, 1, 1, 1, 1, 1, 1, 2, 0, 1, 2, 1, 1, 2, 0, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 3]}, {'CONV': [64, 5]}, {'CONV': [64, 5]}, {'CONV': [128, 3]}, {'CONV': [128, 5]}, {'CONV': [128, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,5,0.651000023,1.350188375,1194460510,43.13111567,17929098,SDVW-QDKA(1)[M]-QDKA-QCVY(2)[M](1)[M],UXER-QCVY(1)[M]-SDVW-QDKA(2)[M](1)[M],"[1, 3, 1, 1, 3, 0, 1, 2, 1, 1, 3, 0, 1, 0, 1, 1, 2, 0, 5, 1, 0, 5, 0, 3]","[1, 3, 0, 1, 1, 1, 1, 1, 1, 1, 2, 0, 1, 2, 1, 2, -1, 1, 5, 1, 0, 5, 0, 3]",NONE,6,3,-1,0,0,False
SDVW-QDKA(1)[M]-QDKA-QCVY(2)[M](1)[M]-UXER-QCVY(1)[M]-SDVW-QDKA(2)[M](1)[M](2),2,2,3,True,False,"[1, 3, 1, 1, 3, 0, 1, 2, 1, 1, 3, 0, 1, 0, 1, 2, -1, 1, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [256, 3]}, {'CONV': [128, 5]}, {'CONV': [256, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,5,0.657199979,0.970571876,1975106974,54.08029866,2339882,SDVW-QDKA(1)[M]-QDKA-QCVY(2)[M](1)[M],UXER-QCVY(1)[M]-SDVW-QDKA(2)[M](1)[M],"[1, 3, 1, 1, 3, 0, 1, 2, 1, 1, 3, 0, 1, 0, 1, 1, 2, 0, 5, 1, 0, 5, 0, 3]","[1, 3, 0, 1, 1, 1, 1, 1, 1, 1, 2, 0, 1, 2, 1, 2, -1, 1, 5, 1, 0, 5, 0, 3]",NONE,3,6,-1,0,0,False
UXER-QCVY(1)[M]-UXER-QCVY(2)[M](1)[M],2,2,3,False,False,"[1, 3, 1, 1, 2, 0, 2, -1, 1, 1, 2, 0, 2, -1, 1, 2, -1, 0, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,5,0.572099984,1.232566237,336680094,21.69623208,479882,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,False
UXER-QCVY(1)[M]-SDVW-QDKA(2)[M](1)[M],2,2,3,False,False,"[1, 3, 0, 1, 1, 1, 1, 1, 1, 1, 2, 0, 1, 2, 1, 2, -1, 1, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 3]}, {'CONV': [64, 5]}, {'CONV': [64, 5]}, {'CONV': [128, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,5,0.710699975,0.90525496,1028318814,36.19469476,2642698,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,False
UXER-QCVY(1)[M]-UXER-QCVY(2)[M](1)[M]-UXER-QCVY(1)[M]-SDVW-QDKA(2)[M](1)[M](1),2,2,3,True,False,"[1, 3, 1, 1, 2, 0, 1, 1, 1, 1, 2, 0, 1, 2, 1, 2, -1, 1, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [128, 3]}, {'CONV': [64, 5]}, {'CONV': [128, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,5,0.664600015,0.96276319,1028351582,36.31889677,2642762,UXER-QCVY(1)[M]-UXER-QCVY(2)[M](1)[M],UXER-QCVY(1)[M]-SDVW-QDKA(2)[M](1)[M],"[1, 3, 1, 1, 2, 0, 2, -1, 1, 1, 2, 0, 2, -1, 1, 2, -1, 0, 5, 1, 0, 5, 0, 3]","[1, 3, 0, 1, 1, 1, 1, 1, 1, 1, 2, 0, 1, 2, 1, 2, -1, 1, 5, 1, 0, 5, 0, 3]",NONE,5,3,-1,0,0,False
UXER-QCVY(1)[M]-UXER-QCVY(2)[M](1)[M]-UXER-QCVY(1)[M]-SDVW-QDKA(2)[M](1)[M](2),2,2,3,True,False,"[1, 3, 0, 1, 1, 1, 2, -1, 1, 1, 2, 0, 1, 0, 0, 2, -1, 0, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,5,0.726300001,0.795095384,437873502,24.72038436,631402,UXER-QCVY(1)[M]-UXER-QCVY(2)[M](1)[M],UXER-QCVY(1)[M]-SDVW-QDKA(2)[M](1)[M],"[1, 3, 1, 1, 2, 0, 2, -1, 1, 1, 2, 0, 2, -1, 1, 2, -1, 0, 5, 1, 0, 5, 0, 3]","[1, 3, 0, 1, 1, 1, 1, 1, 1, 1, 2, 0, 1, 2, 1, 2, -1, 1, 5, 1, 0, 5, 0, 3]",NONE,6,5,-1,0,0,False
