State,Stationary_Probability
SPC_NONE,0.318231
UC_NONE,0.244240
TPC_NONE,0.221285
TPC_MPOLY,0.049416
SBX_NONE,0.039359
TPC_MNUF,0.027882
NONE_MPOLY,0.020803
SPC_MPOLY,0.020420
SBX_MPOLY,0.020353
UC_MPOLY,0.017208
UC_MNUF,0.010537
SPC_MNUF,0.010266
NONE_MNUF,0.000000
SBX_MNUF,0.000000
