GO_Name,Mean_Stationary_Probability
TPC_NONE,0.224627
SPC_NONE,0.231607
UC_NONE,0.256615
UC_MPOLY,0.018682
TPC_MNUF,0.013483
TPC_MPOLY,0.020380
SBX_MPOLY,0.025666
UC_MNUF,0.009297
NONE_MPOLY,0.007482
SPC_MPOLY,0.017423
SBX_NONE,0.024115
NONE_MNUF,0.001439
SBX_MNUF,0.004792
SPC_MNUF,0.011061
