ID,Integer_encoding,Genotype,Mutation type,Crossover type,Search strategy,Type,Accuracy,Loss,FLOPs,CPU Hours,Number of Parameters,Parent1,Parent2,Before Mutation,HD_P1,HD_P2,HD_BM
331,"[0, 1, 0, 1, -1, 1, 0, 1, 2, 1, -1, 0, 2, 5, 0, 2, 0, 3]","[{'INP': 32}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 7]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,0.37139999866485596,1.7599154710769653,84778398,0.013635149134529961,1628554.0,[],[],[],99999,99999,99999
284-331(1),"[0, 0, 2, 1, -1, 0, 0, 1, 2, 1, -1, 0, 2, 5, 0, 2, 0, 3]","[{'INP': 32}, {'CONV': [64, 7]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 7]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,0.3797000050544739,1.7461620569229126,114592414,0.018956877258088853,2510986.0,"[0, 0, 2, 1, -1, 0, 0, 3, 0, 1, -1, 1, 2, 5, 0, 2, 0, 3]","[0, 1, 0, 1, -1, 1, 0, 1, 2, 1, -1, 0, 2, 5, 0, 2, 0, 3]",[],99999,99999,99999
284-331(2),"[0, 1, 0, 1, -1, 1, 0, 3, 0, 1, -1, 1, 2, 5, 0, 2, 0, 3]","[{'INP': 32}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [512, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,0.40130001306533813,1.6336021423339844,63873182,0.013680072360568576,1776394.0,[],[],[],99999,99999,99999
331,"[0, 1, 0, 1, -1, 1, 0, 1, 2, 1, -1, 0, 2, 5, 0, 2, 0, 3]","[{'INP': 32}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 7]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,0.4000000059604645,1.6403765678405762,84778398,0.013983976708518133,1628554.0,[],[],[],99999,99999,99999
81,"[0, 2, 2, 1, -1, 0, 0, 0, 0, 1, -1, 0, 2, 3, 0, 2, 0, 3]","[{'INP': 32}, {'CONV': [256, 7]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,0.2824000120162964,2.1545956134796143,76825278,0.015654561585850185,448266.0,[],[],[],99999,99999,99999
331-81(1),"[0, 1, 0, 1, -1, 1, 0, 0, 0, 1, -1, 0, 2, 3, 0, 2, 0, 3]","[{'INP': 32}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,0.37950000166893005,1.7022818326950073,11144382,0.0040816303094228104,180490.0,"[0, 1, 0, 1, -1, 1, 0, 1, 2, 1, -1, 0, 2, 5, 0, 2, 0, 3]","[0, 2, 2, 1, -1, 0, 0, 0, 0, 1, -1, 0, 2, 3, 0, 2, 0, 3]",[],99999,99999,99999
331-81(2),"[0, 2, 2, 1, -1, 0, 0, 1, 2, 1, -1, 0, 2, 5, 0, 2, 0, 3]","[{'INP': 32}, {'CONV': [256, 7]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 7]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,0.37869998812675476,1.7289519309997559,451971742,0.08182427922884623,3743626.0,[],[],[],99999,99999,99999
692,"[0, 0, 0, 1, -1, 1, 0, 1, 0, 1, -1, 0, 2, 1, 0, 2, 0, 3]","[{'INP': 32}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [16, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,0.23350000381469727,2.0378661155700684,9268038,0.0030593549542956883,127034.0,[],[],[],99999,99999,99999
284,"[0, 0, 2, 1, -1, 0, 0, 3, 0, 1, -1, 1, 2, 5, 0, 2, 0, 3]","[{'INP': 32}, {'CONV': [64, 7]}, {'POOLMAX': [-1, 2]}, {'CONV': [512, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,0.42669999599456787,1.588446021080017,88599454,0.01820308572716183,3584522.0,[],[],[],99999,99999,99999
692-284(1),"[0, 0, 0, 1, -1, 1, 0, 3, 0, 1, -1, 1, 2, 5, 0, 2, 0, 3]","[{'INP': 32}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [512, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,0.42100000381469727,1.5819640159606934,32550942,0.00787923574447632,1479690.0,"[0, 0, 0, 1, -1, 1, 0, 1, 0, 1, -1, 0, 2, 1, 0, 2, 0, 3]","[0, 0, 2, 1, -1, 0, 0, 3, 0, 1, -1, 1, 2, 5, 0, 2, 0, 3]",[],99999,99999,99999
692-284(2),"[0, 0, 2, 1, -1, 0, 0, 1, 0, 1, -1, 0, 2, 1, 0, 2, 0, 3]","[{'INP': 32}, {'CONV': [64, 7]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [16, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,0.2791000008583069,2.0441277027130127,28737734,0.006275669998592801,214586.0,[],[],[],99999,99999,99999
438,"[0, 1, 1, 1, -1, 0, 0, 1, 2, 1, -1, 1, 2, 5, 0, 2, 0, 3]","[{'INP': 32}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 7]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,0.4246000051498413,1.616849660873413,216335070,0.03504574981000688,1634698.0,[],[],[],99999,99999,99999
692,"[0, 0, 0, 1, -1, 1, 0, 1, 0, 1, -1, 0, 2, 1, 0, 2, 0, 3]","[{'INP': 32}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [16, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,0.29030001163482666,1.965516448020935,9268038,0.002948294480641683,127034.0,[],[],[],99999,99999,99999
438-692(1),"[0, 1, 1, 1, -1, 0, 0, 1, 0, 1, -1, 0, 2, 1, 0, 2, 0, 3]","[{'INP': 32}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [16, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,0.2793999910354614,1.9792051315307617,47874246,0.01047193619940016,288570.0,"[0, 1, 1, 1, -1, 0, 0, 1, 2, 1, -1, 1, 2, 5, 0, 2, 0, 3]","[0, 0, 0, 1, -1, 1, 0, 1, 0, 1, -1, 0, 2, 1, 0, 2, 0, 3]",[],99999,99999,99999
438-692(2),"[0, 0, 0, 1, -1, 1, 0, 1, 2, 1, -1, 1, 2, 5, 0, 2, 0, 3]","[{'INP': 32}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 7]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,0.375900000333786,1.6888232231140137,42281054,0.007131024334165785,701066.0,[],[],[],99999,99999,99999
747,"[0, 0, 1, 1, -1, 0, 0, 2, 1, 1, -1, 1, 2, 1, 0, 2, 0, 3]","[{'INP': 32}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [16, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,0.32739999890327454,1.8288683891296387,110002502,0.019099955625004238,517306.0,[],[],[],99999,99999,99999
284,"[0, 0, 2, 1, -1, 0, 0, 3, 0, 1, -1, 1, 2, 5, 0, 2, 0, 3]","[{'INP': 32}, {'CONV': [64, 7]}, {'POOLMAX': [-1, 2]}, {'CONV': [512, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,0.41839998960494995,1.6289366483688354,88599454,0.018268951177597047,3584522.0,[],[],[],99999,99999,99999
747-284(1),"[0, 0, 1, 1, -1, 0, 0, 3, 0, 1, -1, 1, 2, 5, 0, 2, 0, 3]","[{'INP': 32}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [512, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,0.438400000333786,1.5544127225875854,83880862,0.017552437451150683,3579914.0,"[0, 0, 1, 1, -1, 0, 0, 2, 1, 1, -1, 1, 2, 1, 0, 2, 0, 3]","[0, 0, 2, 1, -1, 0, 0, 3, 0, 1, -1, 1, 2, 5, 0, 2, 0, 3]",[],99999,99999,99999
747-284(2),"[0, 0, 2, 1, -1, 0, 0, 2, 1, 1, -1, 1, 2, 1, 0, 2, 0, 3]","[{'INP': 32}, {'CONV': [64, 7]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [16, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,0.22689999639987946,2.0958094596862793,114721094,0.019613614479700725,521914.0,[],[],[],99999,99999,99999
284-331(1),"[0, 0, 2, 1, -1, 0, 0, 1, 2, 1, -1, 0, 2, 5, 0, 2, 0, 3]","[{'INP': 32}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 7]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,0.42289999127388,1.5782727003097534,105448158,0.018095702396498787,1225354.0,"[0, 0, 2, 1, -1, 0, 0, 3, 0, 1, -1, 1, 2, 5, 0, 2, 0, 3]","[0, 1, 0, 1, -1, 1, 0, 1, 2, 1, -1, 0, 2, 5, 0, 2, 0, 3]","[0, 0, 2, 1, -1, 0, 0, 1, 2, 1, -1, 0, 2, 5, 0, 2, 0, 3]",3,3,0
284-331(2),"[0, 1, 0, 1, -1, 1, 0, 3, 0, 1, -1, 1, 2, 5, 0, 2, 0, 3]","[{'INP': 32}, {'CONV': [256, 7]}, {'POOLMAX': [-1, 3]}, {'CONV': [512, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,0.38260000944137573,1.727860927581787,157974942,0.028197793629434375,2400522.0,[],[],"[0, 1, 0, 1, -1, 1, 0, 3, 0, 1, -1, 1, 2, 5, 0, 2, 0, 3]",99999,99999,0
331-81(1),"[0, 1, 0, 1, -1, 1, 0, 0, 0, 1, -1, 0, 2, 3, 0, 2, 0, 3]","[{'INP': 32}, {'CONV': [64, 7]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 7]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,0.3409000039100647,1.777787446975708,49922174,0.008269602325227526,485450.0,"[0, 1, 0, 1, -1, 1, 0, 1, 2, 1, -1, 0, 2, 5, 0, 2, 0, 3]","[0, 2, 2, 1, -1, 0, 0, 0, 0, 1, -1, 0, 2, 3, 0, 2, 0, 3]","[0, 1, 0, 1, -1, 1, 0, 0, 0, 1, -1, 0, 2, 3, 0, 2, 0, 3]",3,3,0
331-81(2),"[0, 2, 2, 1, -1, 0, 0, 1, 2, 1, -1, 0, 2, 5, 0, 2, 0, 3]","[{'INP': 32}, {'CONV': [512, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [16, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,0.29670000076293945,1.971079707145691,157839174,0.03217938946353065,1255866.0,[],[],"[0, 2, 2, 1, -1, 0, 0, 1, 2, 1, -1, 0, 2, 5, 0, 2, 0, 3]",99999,99999,0
692-284(1),"[0, 0, 0, 1, -1, 1, 0, 3, 0, 1, -1, 1, 2, 5, 0, 2, 0, 3]","[{'INP': 32}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,0.4359000027179718,1.6003278493881226,32262814,0.006582398215929667,1158730.0,"[0, 0, 0, 1, -1, 1, 0, 1, 0, 1, -1, 0, 2, 1, 0, 2, 0, 3]","[0, 0, 2, 1, -1, 0, 0, 3, 0, 1, -1, 1, 2, 5, 0, 2, 0, 3]","[0, 0, 0, 1, -1, 1, 0, 3, 0, 1, -1, 1, 2, 5, 0, 2, 0, 3]",3,2,0
692-284(2),"[0, 0, 2, 1, -1, 0, 0, 1, 0, 1, -1, 0, 2, 1, 0, 2, 0, 3]","[{'INP': 32}, {'CONV': [512, 7]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [16, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,0.11150000244379044,2.265040874481201,228753606,0.045512734585338166,796986.0,[],[],"[0, 0, 2, 1, -1, 0, 0, 1, 0, 1, -1, 0, 2, 1, 0, 2, 0, 3]",99999,99999,0
438-692(1),"[0, 1, 1, 1, -1, 0, 0, 1, 0, 1, -1, 0, 2, 1, 0, 2, 0, 3]","[{'INP': 32}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [16, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,0.32829999923706055,1.8779544830322266,95584454,0.020483527845806544,445754.0,"[0, 1, 1, 1, -1, 0, 0, 1, 2, 1, -1, 1, 2, 5, 0, 2, 0, 3]","[0, 0, 0, 1, -1, 1, 0, 1, 0, 1, -1, 0, 2, 1, 0, 2, 0, 3]","[0, 1, 1, 1, -1, 0, 0, 1, 0, 1, -1, 0, 2, 1, 0, 2, 0, 3]",3,3,0
438-692(2),"[0, 0, 0, 1, -1, 1, 0, 1, 2, 1, -1, 1, 2, 5, 0, 2, 0, 3]","[{'INP': 32}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,0.4341999888420105,1.5717453956604004,116951710,0.022119029694133336,2519434.0,[],[],"[0, 0, 0, 1, -1, 1, 0, 1, 2, 1, -1, 1, 2, 5, 0, 2, 0, 3]",99999,99999,0
747-284(1),"[0, 0, 1, 1, -1, 0, 0, 3, 0, 1, -1, 1, 2, 5, 0, 2, 0, 3]","[{'INP': 32}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,0.39629998803138733,1.6624269485473633,66477886,0.014935782353083293,745418.0,"[0, 0, 1, 1, -1, 0, 0, 2, 1, 1, -1, 1, 2, 1, 0, 2, 0, 3]","[0, 0, 2, 1, -1, 0, 0, 3, 0, 1, -1, 1, 2, 5, 0, 2, 0, 3]","[0, 0, 1, 1, -1, 0, 0, 3, 0, 1, -1, 1, 2, 5, 0, 2, 0, 3]",3,1,0
747-284(2),"[0, 0, 2, 1, -1, 0, 0, 2, 1, 1, -1, 1, 2, 1, 0, 2, 0, 3]","[{'INP': 32}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [16, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,0.26260000467300415,2.0091757774353027,50943750,0.009932780729399788,438074.0,[],[],"[0, 0, 2, 1, -1, 0, 0, 2, 1, 1, -1, 1, 2, 1, 0, 2, 0, 3]",99999,99999,0
284,"[0, 0, 2, 1, -1, 0, 0, 3, 0, 1, -1, 1, 2, 5, 0, 2, 0, 3]","[{'INP': 32}, {'CONV': [64, 7]}, {'POOLMAX': [-1, 2]}, {'CONV': [512, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,4,2,3,5,1,[],[],[],99999,99999,99999
331,"[0, 1, 0, 1, -1, 1, 0, 1, 2, 1, -1, 0, 2, 5, 0, 2, 0, 3]","[{'INP': 32}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 7]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,4,3,0,3,9,[],[],[],99999,99999,99999
