Execution,Best_accuracy,Loss,CPU_hrs,Num_params,FLOPs,Acc_mean,Loss_mean,CPU_hrs_mean,Num_params_mean,FLOPs_mean,Acc_std,Loss_std,CPU_hrs_std,Num_params_std,FLOPs_std
1,0.9781000018119812,0.07050063461065292,0.0030214348104265,246515.0,1409504,0.9780400037765503,0.07077792435884475,0.003311890138520135,171442.2,1924794.2,0.002149977319682595,0.00593675107612551,0.000727539670469622,55326.733254006605,1545268.8523062128
2,0.9761999845504761,0.07480031996965408,0.0028593060705396863,193745.0,876688,,,,,,,,,,
3,0.9793000221252441,0.06467539072036743,0.0034536824623743693,199662.0,1998143,,,,,,,,,,
4,0.9753000140190125,0.07970095425844193,0.0025741208924187553,93017.0,494993,,,,,,,,,,
5,0.9812999963760376,0.06421232223510742,0.004650906456841363,124272.0,4844643,,,,,,,,,,
