Epochs,Best_accuracy,Loss,Acc_mean,Loss_mean
1,0.894599974155426,0.3476414978504181,0.9634699881076813,0.12092274576425552
2,0.9430999755859375,0.1896739900112152,,
3,0.9621999859809875,0.1260143369436264,,
4,0.9710999727249146,0.09499213099479675,,
5,0.9725000262260437,0.09236325323581696,,
6,0.9764999747276306,0.07540246099233627,,
7,0.979200005531311,0.07102427631616592,,
8,0.9761999845504761,0.07775093615055084,,
9,0.9811999797821045,0.06386394053697586,,
10,0.9781000018119812,0.07050063461065292,,
