exec,generation,operator,is_pareto,is_selected,f0,f1,f2
1,1,SPC_MPAR,0,0,-0.5345104826691189,4206655404.0,8062628.0
1,1,SPC_MSWAP,1,0,-0.5377205200946367,747184108.0,2587684.0
1,1,SPC_NONE,1,0,-0.5309268019716373,451772076.0,2418852.0
1,1,TPC_MPAR,0,0,-0.5333009819500053,4252638444.0,9011748.0
1,1,TPC_MSWAP,0,0,-0.522528594340553,1633661164.0,8555044.0
1,1,TPC_NONE,1,0,-0.51853429214863,871045548.0,1858212.0
1,1,UC_MPAR,0,0,-0.5232975154089318,1233641388.0,3675812.0
1,1,UC_MSWAP,0,0,-0.5282836943959915,1325503660.0,5088420.0
1,1,UC_NONE,1,0,-0.52383811735284,294394092.0,2960932.0
1,1,NONE_MPAR,1,0,-0.5399612258928468,789467052.0,2174628.0
1,1,NONE_MSWAP,1,1,-0.5415261840831664,3828187564.0,7719588.0
1,1,NONE_NONE,0,0,-0.5327025465450627,4190085548.0,7803556.0
1,2,SPC_MPAR,1,1,-0.5515185094394738,484327340.0,1776292.0
1,2,SPC_MSWAP,0,0,-0.5391589221080065,869665196.0,4354724.0
1,2,SPC_NONE,1,0,-0.5553373046343881,524457772.0,1770404.0
1,2,TPC_MPAR,0,0,-0.5425024241043758,733798636.0,3043876.0
1,2,TPC_MSWAP,0,0,-0.5476888357049017,687988396.0,4137124.0
1,2,TPC_NONE,0,0,-0.5462458217103371,590882988.0,2907300.0
1,2,UC_MPAR,0,0,-0.5529369698076896,3896413548.0,6340900.0
1,2,UC_MSWAP,0,0,-0.5523421347208568,669951724.0,3916324.0
1,2,UC_NONE,0,0,-0.5341409485584325,3843779500.0,7794340.0
1,2,NONE_MPAR,0,0,-0.5415261840831664,3828187564.0,7719588.0
1,2,NONE_MSWAP,0,0,-0.5415261840831664,3828187564.0,7719588.0
1,2,NONE_NONE,0,0,-0.5415261840831664,3828187564.0,7719588.0
1,3,SPC_MPAR,0,0,-0.5424985014689028,477900140.0,2436388.0
1,3,SPC_MSWAP,0,0,-0.5494651961088828,515576748.0,2290340.0
1,3,SPC_NONE,1,0,-0.5515185094394738,484327340.0,1776292.0
1,3,TPC_MPAR,1,0,-0.5471249542176109,455363372.0,1864612.0
1,3,TPC_MSWAP,0,0,-0.5510074482423518,550973612.0,1977508.0
1,3,TPC_NONE,1,0,-0.5555245956551477,497060332.0,2122788.0
1,3,UC_MPAR,1,1,-0.5632828712844777,612802796.0,3680804.0
1,3,UC_MSWAP,1,0,-0.5494936218347966,432390508.0,1928484.0
1,3,UC_NONE,0,0,-0.5405896731370925,777161900.0,2050212.0
1,3,NONE_MPAR,1,0,-0.5515185094394738,484327340.0,1776292.0
1,3,NONE_MSWAP,1,0,-0.5515185094394738,484327340.0,1776292.0
1,3,NONE_NONE,1,0,-0.5515185094394738,484327340.0,1776292.0
1,4,SPC_MPAR,1,0,-0.5632828712844777,612802796.0,3680804.0
1,4,SPC_MSWAP,1,0,-0.5620785803407609,545029996.0,2238756.0
1,4,SPC_NONE,1,0,-0.5727564897638745,612911724.0,3705636.0
1,4,TPC_MPAR,0,0,-0.5498064980810189,1380714668.0,3835044.0
1,4,TPC_MSWAP,0,0,-0.5593780956271822,3980907308.0,5796772.0
1,4,TPC_NONE,0,0,-0.5605956772601062,1264791212.0,5730468.0
1,4,UC_MPAR,1,1,-0.5675596958546303,733594732.0,2421540.0
1,4,UC_MSWAP,0,0,-0.5715121768504025,731459436.0,5151524.0
1,4,UC_NONE,1,0,-0.5728669725727301,710558380.0,5192868.0
1,4,NONE_MPAR,1,0,-0.5632828712844777,612802796.0,3680804.0
1,4,NONE_MSWAP,1,0,-0.5632828712844777,612802796.0,3680804.0
1,4,NONE_NONE,1,0,-0.5632828712844777,612802796.0,3680804.0
1,5,SPC_MPAR,1,0,-0.5686113547983123,1768162284.0,3894308.0
1,5,SPC_MSWAP,0,0,-0.5653828558067318,776613228.0,3350308.0
1,5,SPC_NONE,1,0,-0.5662951563503853,505917932.0,2273316.0
1,5,TPC_MPAR,0,0,-0.5671015541181522,1284733164.0,6042148.0
1,5,TPC_MSWAP,1,0,-0.567760603735165,746969260.0,3257508.0
1,5,TPC_NONE,0,0,-0.5644810243665531,1652033772.0,5065252.0
1,5,UC_MPAR,0,0,-0.569203481195475,1955317612.0,5073188.0
1,5,UC_MSWAP,0,0,-0.569129658203674,2106953772.0,5041572.0
1,5,UC_NONE,0,0,-0.5683070353834576,1810501228.0,5155620.0
1,5,NONE_MPAR,1,0,-0.5729597548328913,650449388.0,3948580.0
1,5,NONE_MSWAP,1,1,-0.5675596958546303,733594732.0,2421540.0
1,5,NONE_NONE,1,0,-0.5675596958546303,733594732.0,2421540.0
1,6,SPC_MPAR,0,0,-0.5698090401141727,700759148.0,4214564.0
1,6,SPC_MSWAP,0,0,-0.5635864000142796,730332972.0,3168164.0
1,6,SPC_NONE,1,0,-0.5698704942172107,555125420.0,3674276.0
1,6,TPC_MPAR,1,1,-0.5735449601995596,808341420.0,4492964.0
1,6,TPC_MSWAP,1,0,-0.5731345646494356,827587692.0,2027300.0
1,6,TPC_NONE,0,0,-0.5673006006865109,1728580460.0,3361060.0
1,6,UC_MPAR,0,0,-0.5659204172035001,721919148.0,3865764.0
1,6,UC_MSWAP,1,0,-0.5678225622319442,589981036.0,3032356.0
1,6,UC_NONE,1,0,-0.5710808379337035,769257068.0,6148900.0
1,6,NONE_MPAR,1,0,-0.5709845978722284,506631852.0,3887268.0
1,6,NONE_MSWAP,1,0,-0.5675596958546303,733594732.0,2421540.0
1,6,NONE_NONE,1,0,-0.5675596958546303,733594732.0,2421540.0
1,7,SPC_MPAR,1,0,-0.5730183744257148,769542188.0,3004836.0
1,7,SPC_MSWAP,1,1,-0.5738484243241299,694906476.0,3607332.0
1,7,SPC_NONE,1,0,-0.5743727214221099,1116973740.0,5295268.0
1,7,TPC_MPAR,1,0,-0.5755767549013395,1118751916.0,5199012.0
1,7,TPC_MSWAP,1,0,-0.5681248282750467,574790380.0,3778084.0
1,7,TPC_NONE,0,0,-0.5720791387464254,775557036.0,3090084.0
1,7,UC_MPAR,0,0,-0.5727702377079509,906577580.0,3442852.0
1,7,UC_MSWAP,1,0,-0.5725693298274162,733230444.0,2410788.0
1,7,UC_NONE,0,0,-0.5723996835403036,794776236.0,3151012.0
1,7,NONE_MPAR,0,0,-0.5725693298274162,766784876.0,2541860.0
1,7,NONE_MSWAP,0,0,-0.5735449601995596,808341420.0,4492964.0
1,7,NONE_NONE,0,0,-0.5735449601995596,808341420.0,4492964.0
1,8,SPC_MPAR,0,0,-0.5727564897638745,612911724.0,3705636.0
1,8,SPC_MSWAP,0,0,-0.5738484243241299,694906476.0,3607332.0
1,8,SPC_NONE,1,0,-0.579523283236971,929814508.0,5147684.0
1,8,TPC_MPAR,1,0,-0.5725693298274162,733230444.0,2410788.0
1,8,TPC_MSWAP,1,1,-0.5770830633363193,826311276.0,4561700.0
1,8,TPC_NONE,0,0,-0.573931815820633,603708908.0,3782692.0
1,8,UC_MPAR,1,0,-0.5768203469462146,497793708.0,2532516.0
1,8,UC_MSWAP,0,0,-0.5735449601995596,808341420.0,4492964.0
1,8,UC_NONE,1,0,-0.5839417773640223,799109676.0,5156260.0
1,8,NONE_MPAR,0,0,-0.5735449601995596,808341420.0,4492964.0
1,8,NONE_MSWAP,0,0,-0.5735449601995596,808341420.0,4492964.0
1,8,NONE_NONE,0,0,-0.5738484243241299,694906476.0,3607332.0
1,9,SPC_MPAR,0,0,-0.5876991758267195,840625516.0,4785444.0
1,9,SPC_MSWAP,0,0,-0.5831244722738136,1459885612.0,5293476.0
1,9,SPC_NONE,0,0,-0.5749334946227375,2112860396.0,5607972.0
1,9,TPC_MPAR,1,0,-0.580949252403704,625902700.0,4517668.0
1,9,TPC_MSWAP,0,0,-0.5777172336091746,1167707372.0,7103012.0
1,9,TPC_NONE,0,0,-0.5906261359521175,2155004524.0,5720868.0
1,9,UC_MPAR,1,1,-0.5793470116298697,759357548.0,3029796.0
1,9,UC_MSWAP,1,0,-0.5770830633363193,739413676.0,4222116.0
1,9,UC_NONE,1,0,-0.5910778774064589,779075820.0,4377124.0
1,9,NONE_MPAR,0,0,-0.576631321881978,1094746732.0,4823844.0
1,9,NONE_MSWAP,0,0,-0.5749334946227375,2112860396.0,5607972.0
1,9,NONE_NONE,0,0,-0.5770830633363193,826311276.0,4561700.0
1,10,SPC_MPAR,1,1,-0.5872474343723781,2216554220.0,6129188.0
1,10,SPC_MSWAP,0,0,-0.5831244722738136,1413140780.0,4562852.0
1,10,SPC_NONE,1,0,-0.5831244722738136,783798188.0,3948196.0
1,10,TPC_MPAR,1,0,-0.5835762137281549,780522924.0,4006564.0
1,10,TPC_MSWAP,0,0,-0.5765979359874402,2097791084.0,4018980.0
1,10,TPC_NONE,0,0,-0.5824351583010414,2121249004.0,6132260.0
1,10,UC_MPAR,1,0,-0.5793470116298697,735461356.0,2705444.0
1,10,UC_MSWAP,1,0,-0.5820038193843424,611733228.0,4296228.0
1,10,UC_NONE,0,0,-0.5829235643932789,2148857964.0,4604708.0
1,10,NONE_MPAR,0,0,-0.5824351583010414,2121249004.0,6132260.0
1,10,NONE_MSWAP,0,0,-0.5793470116298697,759357548.0,3029796.0
1,10,NONE_NONE,0,0,-0.5793470116298697,759357548.0,3029796.0
1,11,SPC_MPAR,1,0,-0.5835762137281549,780522924.0,4006564.0
1,11,SPC_MSWAP,0,0,-0.5820699052931751,797967660.0,4169636.0
1,11,SPC_NONE,0,0,-0.5872474343723781,2216554220.0,6129188.0
1,11,TPC_MPAR,1,1,-0.5899917825583932,616211756.0,4366244.0
1,11,TPC_MSWAP,0,0,-0.5859093301161049,2216918508.0,6139940.0
1,11,TPC_NONE,0,0,-0.5900233104258205,803081004.0,4752292.0
1,11,UC_MPAR,1,0,-0.5910778774064589,788911532.0,4530852.0
1,11,UC_MSWAP,0,0,-0.580949252403704,625902700.0,4517668.0
1,11,UC_NONE,0,0,-0.5831244722738136,830543020.0,4678820.0
1,11,NONE_MPAR,0,0,-0.5872474343723781,2250108652.0,6260260.0
1,11,NONE_MSWAP,0,0,-0.5872474343723781,2216554220.0,6129188.0
1,11,NONE_NONE,0,0,-0.5872474343723781,2216554220.0,6129188.0
1,12,SPC_MPAR,0,0,-0.5924164444179321,820526764.0,4915364.0
1,12,SPC_MSWAP,1,0,-0.5990658405805097,793390060.0,4600868.0
1,12,SPC_NONE,1,0,-0.5899917825583932,616211756.0,4366244.0
1,12,TPC_MPAR,1,0,-0.5899917825583932,616211756.0,4366244.0
1,12,TPC_MSWAP,0,0,-0.5831244722738136,2156451628.0,5350308.0
1,12,TPC_NONE,1,0,-0.5910778774064589,779075820.0,4377124.0
1,12,UC_MPAR,0,0,-0.5890893241991686,807130028.0,4705956.0
1,12,UC_MSWAP,1,0,-0.5910778774064589,779075820.0,4377124.0
1,12,UC_NONE,0,0,-0.5910778774064589,788911532.0,4530852.0
1,12,NONE_MPAR,1,1,-0.5899917825583932,616211756.0,4366244.0
1,12,NONE_MSWAP,1,0,-0.5899917825583932,616211756.0,4366244.0
1,12,NONE_NONE,1,0,-0.5899917825583932,616211756.0,4366244.0
1,13,SPC_MPAR,1,0,-0.5986140991261684,642296620.0,4453284.0
1,13,SPC_MSWAP,0,0,-0.5832049927365369,911920812.0,4807332.0
1,13,SPC_NONE,1,0,-0.5899917825583932,616211756.0,4366244.0
1,13,TPC_MPAR,1,1,-0.5950759959894086,775151212.0,4418340.0
1,13,TPC_MSWAP,1,0,-0.5990658405805097,793390060.0,4600868.0
1,13,TPC_NONE,0,0,-0.5986140991261684,1426007916.0,5157156.0
1,13,UC_MPAR,0,0,-0.5910778774064589,814642732.0,4933028.0
1,13,UC_MSWAP,1,0,-0.5860205633802429,558174188.0,2258980.0
1,13,UC_NONE,1,0,-0.5910778774064589,779075820.0,4377124.0
1,13,NONE_MPAR,0,0,-0.5928681858722734,817251500.0,4973732.0
1,13,NONE_MSWAP,1,0,-0.5899917825583932,616211756.0,4366244.0
1,13,NONE_NONE,1,0,-0.5899917825583932,616211756.0,4366244.0
1,14,SPC_MPAR,0,0,-0.5906261359521175,1411693676.0,4933412.0
1,14,SPC_MSWAP,1,0,-0.5986140991261684,796665324.0,4542500.0
1,14,SPC_NONE,1,0,-0.5986140991261684,796665324.0,4542500.0
1,14,TPC_MPAR,1,0,-0.5950759959894086,775151212.0,4418340.0
1,14,TPC_MSWAP,1,0,-0.5950759959894086,775151212.0,4418340.0
1,14,TPC_NONE,0,0,-0.5986140991261684,1426007916.0,5157156.0
1,14,UC_MPAR,1,0,-0.5986140991261684,796665324.0,4542500.0
1,14,UC_MSWAP,0,0,-0.5980200689966161,797029612.0,4553252.0
1,14,UC_NONE,1,0,-0.5899917825583932,616211756.0,4366244.0
1,14,NONE_MPAR,1,1,-0.5950759959894086,775151212.0,4418340.0
1,14,NONE_MSWAP,0,0,-0.5906261359521175,1411693676.0,4933412.0
1,14,NONE_NONE,1,0,-0.5950759959894086,775151212.0,4418340.0
1,15,SPC_MPAR,1,1,-0.5986140991261684,796665324.0,4542500.0
1,15,SPC_MSWAP,0,0,-0.5986140991261684,2169318764.0,5944612.0
1,15,SPC_NONE,1,0,-0.5990658405805097,793390060.0,4600868.0
1,15,TPC_MPAR,1,0,-0.5990658405805097,793390060.0,4600868.0
1,15,TPC_MSWAP,0,0,-0.5986140991261684,1426007916.0,5157156.0
1,15,TPC_NONE,1,0,-0.5990658405805097,793390060.0,4600868.0
1,15,UC_MPAR,0,0,-0.5986140991261684,1426007916.0,5157156.0
1,15,UC_MSWAP,1,0,-0.5990658405805097,793390060.0,4600868.0
1,15,UC_NONE,1,0,-0.5986140991261684,796665324.0,4542500.0
1,15,NONE_MPAR,1,0,-0.5950759959894086,775151212.0,4418340.0
1,15,NONE_MSWAP,1,0,-0.5950759959894086,775151212.0,4418340.0
1,15,NONE_NONE,1,0,-0.5950759959894086,775151212.0,4418340.0
1,16,SPC_MPAR,1,0,-0.5990658405805097,793390060.0,4600868.0
1,16,SPC_MSWAP,1,0,-0.5986140991261684,796665324.0,4542500.0
1,16,SPC_NONE,1,0,-0.5986140991261684,796665324.0,4542500.0
1,16,TPC_MPAR,1,0,-0.5990658405805097,793390060.0,4600868.0
1,16,TPC_MSWAP,1,0,-0.5990658405805097,793390060.0,4600868.0
1,16,TPC_NONE,1,0,-0.5990658405805097,793390060.0,4600868.0
1,16,UC_MPAR,1,0,-0.5990658405805097,793390060.0,4600868.0
1,16,UC_MSWAP,1,0,-0.5990658405805097,793390060.0,4600868.0
1,16,UC_NONE,1,0,-0.5990658405805097,793390060.0,4600868.0
1,16,NONE_MPAR,1,1,-0.5990658405805097,793390060.0,4600868.0
1,16,NONE_MSWAP,1,0,-0.5986140991261684,796665324.0,4542500.0
1,16,NONE_NONE,1,0,-0.5986140991261684,796665324.0,4542500.0
1,17,SPC_MPAR,1,0,-0.5990658405805097,793390060.0,4600868.0
1,17,SPC_MSWAP,1,0,-0.5990658405805097,793390060.0,4600868.0
1,17,SPC_NONE,1,0,-0.5990658405805097,793390060.0,4600868.0
1,17,TPC_MPAR,1,0,-0.5990658405805097,793390060.0,4600868.0
1,17,TPC_MSWAP,1,0,-0.5990658405805097,793390060.0,4600868.0
1,17,TPC_NONE,1,0,-0.5990658405805097,793390060.0,4600868.0
1,17,UC_MPAR,1,0,-0.5990658405805097,793390060.0,4600868.0
1,17,UC_MSWAP,1,0,-0.5990658405805097,793390060.0,4600868.0
1,17,UC_NONE,1,0,-0.5990658405805097,793390060.0,4600868.0
1,17,NONE_MPAR,1,1,-0.5990658405805097,793390060.0,4600868.0
1,17,NONE_MSWAP,1,0,-0.5990658405805097,793390060.0,4600868.0
1,17,NONE_NONE,1,0,-0.5990658405805097,793390060.0,4600868.0
1,18,SPC_MPAR,1,1,-0.5990658405805097,793390060.0,4600868.0
1,18,SPC_MSWAP,1,0,-0.5990658405805097,793390060.0,4600868.0
1,18,SPC_NONE,1,0,-0.5986140991261684,796665324.0,4542500.0
1,18,TPC_MPAR,1,0,-0.5990658405805097,793390060.0,4600868.0
1,18,TPC_MSWAP,1,0,-0.5990658405805097,793390060.0,4600868.0
1,18,TPC_NONE,1,0,-0.5990658405805097,793390060.0,4600868.0
1,18,UC_MPAR,1,0,-0.5990658405805097,793390060.0,4600868.0
1,18,UC_MSWAP,1,0,-0.5990658405805097,793390060.0,4600868.0
1,18,UC_NONE,1,0,-0.5990658405805097,793390060.0,4600868.0
1,18,NONE_MPAR,1,0,-0.5990658405805097,793390060.0,4600868.0
1,18,NONE_MSWAP,1,0,-0.5990658405805097,793390060.0,4600868.0
1,18,NONE_NONE,1,0,-0.5990658405805097,793390060.0,4600868.0
1,19,SPC_MPAR,1,1,-0.5990658405805097,793390060.0,4600868.0
1,19,SPC_MSWAP,1,0,-0.5990658405805097,793390060.0,4600868.0
1,19,SPC_NONE,1,0,-0.5990658405805097,793390060.0,4600868.0
1,19,TPC_MPAR,1,0,-0.5990658405805097,793390060.0,4600868.0
1,19,TPC_MSWAP,1,0,-0.5990658405805097,793390060.0,4600868.0
1,19,TPC_NONE,1,0,-0.5990658405805097,793390060.0,4600868.0
1,19,UC_MPAR,1,0,-0.5990658405805097,793390060.0,4600868.0
1,19,UC_MSWAP,1,0,-0.5990658405805097,793390060.0,4600868.0
1,19,UC_NONE,1,0,-0.5990658405805097,793390060.0,4600868.0
1,19,NONE_MPAR,1,0,-0.5990658405805097,793390060.0,4600868.0
1,19,NONE_MSWAP,1,0,-0.5990658405805097,793390060.0,4600868.0
1,19,NONE_NONE,1,0,-0.5990658405805097,793390060.0,4600868.0
1,20,SPC_MPAR,1,1,-0.5990658405805097,793390060.0,4600868.0
1,20,SPC_MSWAP,1,0,-0.5990658405805097,793390060.0,4600868.0
1,20,SPC_NONE,1,0,-0.5990658405805097,793390060.0,4600868.0
1,20,TPC_MPAR,1,0,-0.5990658405805097,793390060.0,4600868.0
1,20,TPC_MSWAP,1,0,-0.5990658405805097,793390060.0,4600868.0
1,20,TPC_NONE,1,0,-0.5990658405805097,793390060.0,4600868.0
1,20,UC_MPAR,1,0,-0.5990658405805097,793390060.0,4600868.0
1,20,UC_MSWAP,1,0,-0.5990658405805097,793390060.0,4600868.0
1,20,UC_NONE,1,0,-0.5990658405805097,793390060.0,4600868.0
