GD,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
NONE_MNUF,0.000000,0.018519,0.129630,0.148148,0.000000,0.185185,0.092593,0.037037,0.185185,0.037037,0.018519,0.092593,0.055556,0.000000
NONE_MPOLY,0.013158,0.098684,0.006579,0.282895,0.019737,0.019737,0.177632,0.013158,0.039474,0.157895,0.013158,0.013158,0.138158,0.006579
SBX_MNUF,0.016393,0.000000,0.090164,0.311475,0.016393,0.081967,0.163934,0.008197,0.081967,0.081967,0.000000,0.073770,0.073770,0.000000
SBX_MPOLY,0.008999,0.056243,0.035996,0.348706,0.013498,0.029246,0.139483,0.008999,0.032621,0.155231,0.007874,0.020247,0.138358,0.004499
SBX_NONE,0.000000,0.000000,0.080000,0.220000,0.040000,0.040000,0.180000,0.040000,0.000000,0.220000,0.060000,0.000000,0.100000,0.020000
SPC_MNUF,0.017391,0.017391,0.130435,0.321739,0.017391,0.078261,0.069565,0.008696,0.121739,0.104348,0.026087,0.034783,0.052174,0.000000
SPC_MPOLY,0.010246,0.040984,0.024590,0.272541,0.018443,0.026639,0.211066,0.004098,0.026639,0.186475,0.006148,0.028689,0.133197,0.010246
SPC_NONE,0.000000,0.100000,0.066667,0.166667,0.033333,0.000000,0.166667,0.000000,0.033333,0.166667,0.033333,0.033333,0.166667,0.033333
TPC_MNUF,0.000000,0.052174,0.113043,0.243478,0.000000,0.113043,0.147826,0.017391,0.052174,0.113043,0.008696,0.060870,0.078261,0.000000
TPC_MPOLY,0.013015,0.062907,0.028200,0.292842,0.019523,0.034707,0.197397,0.008677,0.015184,0.160521,0.004338,0.021692,0.134490,0.006508
TPC_NONE,0.000000,0.074074,0.037037,0.296296,0.000000,0.000000,0.148148,0.000000,0.037037,0.222222,0.074074,0.000000,0.074074,0.037037
UC_MNUF,0.012500,0.025000,0.062500,0.237500,0.062500,0.062500,0.162500,0.012500,0.087500,0.062500,0.012500,0.062500,0.137500,0.000000
UC_MPOLY,0.005450,0.057221,0.021798,0.316076,0.010899,0.016349,0.177112,0.013624,0.024523,0.196185,0.005450,0.008174,0.136240,0.010899
UC_NONE,0.000000,0.050000,0.000000,0.400000,0.050000,0.050000,0.100000,0.000000,0.000000,0.250000,0.000000,0.050000,0.050000,0.000000
