counts,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
NONE_MNUF,33,10,24,9,16,22,7,1,28,9,1,19,6,1
NONE_MPOLY,11,11,9,19,17,7,5,3,10,10,1,6,3,3
SBX_MNUF,11,3,27,10,20,22,4,1,19,6,0,27,6,0
SBX_MPOLY,12,17,4,15,13,19,10,0,13,9,0,10,2,1
SBX_NONE,19,24,22,23,1124,14,26,33,16,14,29,10,24,34
SPC_MNUF,29,10,15,10,22,29,8,0,24,11,0,17,10,0
SPC_MPOLY,3,11,1,8,26,8,4,4,11,7,3,2,7,2
SPC_NONE,0,1,2,1,33,0,1,3,1,4,3,2,0,1
TPC_MNUF,14,13,20,9,21,29,4,0,25,11,2,25,6,3
TPC_MPOLY,8,7,9,11,18,11,13,2,7,3,3,6,5,2
TPC_NONE,2,1,0,0,28,1,3,1,2,0,3,5,2,4
UC_MNUF,19,6,25,7,23,18,5,2,17,8,5,18,7,0
UC_MPOLY,5,3,5,6,20,5,7,1,4,10,0,9,5,4
UC_NONE,0,1,0,2,33,1,1,3,4,3,2,3,1,5
