Genetic_operators,Times_Used,Pareto_Appearances
SPC_MPAR,51,51
SPC_MSWAP,25,50
SPC_NONE,13,47
TPC_MPAR,4,42
TPC_MSWAP,3,45
TPC_NONE,2,59
UC_MPAR,0,44
UC_MSWAP,0,48
UC_NONE,2,52
NONE_MPAR,0,29
NONE_MSWAP,0,34
NONE_NONE,0,9
