Operator,Count
SBX_MPOLY,834
SPC_MPOLY,482
TPC_MPOLY,381
UC_MPOLY,378
NONE_MPOLY,131
SBX_MNUF,113
SPC_MNUF,90
TPC_MNUF,85
UC_MNUF,84
NONE_MNUF,56
SBX_NONE,36
TPC_NONE,13
UC_NONE,10
SPC_NONE,7
