Operator,Count
NONE_MNUF,1
TPC_MNUF,2
SBX_MPOLY,31
SPC_MPOLY,28
SPC_MNUF,1
SBX_MNUF,2
UC_MPOLY,18
TPC_MPOLY,12
NONE_MPOLY,5
