CROSS,SPC_MBFLIP,SPC_NONE,TPC_MBFLIP,TPC_NONE,UC_MBFLIP,UC_NONE
SPC_MBFLIP,0.193370,0.127072,0.237569,0.176796,0.171271,0.093923
SPC_NONE,0.202899,0.173913,0.159420,0.173913,0.152174,0.137681
TPC_MBFLIP,0.144509,0.184971,0.202312,0.196532,0.144509,0.127168
TPC_NONE,0.148810,0.178571,0.172619,0.226190,0.172619,0.101190
UC_MBFLIP,0.177778,0.133333,0.222222,0.162963,0.133333,0.170370
UC_NONE,0.180952,0.133333,0.171429,0.209524,0.180952,0.123810
