Genetic_operators,Times_Used,Pareto_Appearances
SPC_MPAR,14,55
SPC_MSWAP,10,44
TPC_MPAR,13,52
TPC_MSWAP,19,55
UC_MPAR,26,58
UC_MSWAP,18,53
