Operator,Count
SBX_MPOLY,1000
SPC_MPOLY,320
SBX_MNUF,297
TPC_MPOLY,284
UC_MPOLY,233
TPC_MNUF,166
SPC_MNUF,158
SBX_NONE,149
UC_MNUF,136
NONE_MPOLY,116
NONE_MNUF,70
UC_NONE,32
TPC_NONE,27
SPC_NONE,12
