Execution,HD_P1,HD_P2,HD_BM,Succ_Crossover_ratio,Succ_Mutation_ratio,NFHT
10,0.125,0.125,0.0,0.225,0.08125,0.24
Mean,0.125,0.125,0.0,0.225,0.08125,0.24
Std,0.0,0.0,0.0,0.0,0.0,0.0
