counts,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SPC_MPOLY,TPC_MPOLY,UC_MPOLY
NONE_MNUF,0,0,0,0,1,0,0
NONE_MPOLY,0,1,0,20,1,1,2
SBX_MNUF,0,0,414,501,0,0,1
SBX_MPOLY,0,12,500,1457,5,7,9
SPC_MPOLY,0,1,0,11,1,0,1
TPC_MPOLY,0,0,1,7,0,0,0
UC_MPOLY,0,0,1,14,1,0,0
