Operator,Count
SBX_MPOLY,6
TPC_NONE,28
SBX_MNUF,3
TPC_MNUF,3
UC_MNUF,3
UC_NONE,14
SPC_NONE,17
SPC_MPOLY,7
TPC_MPOLY,8
UC_MPOLY,6
SBX_NONE,2
NONE_MPOLY,2
NONE_MNUF,1
