Execution,HD_P1_mean,HD_P2_mean,HD_P1_std,HD_P2_std,HD_BM_mean,HD_BM_std,succ_crossover,succ_mutation
1,,,,,,,0.0,0.0
2,,,,,,,0.0,0.0
3,,,,,,,0.0,0.0
4,,,,,,,0.0,0.0
5,,,,,,,0.0,0.0
Mean,,,,,,,0.0,0.0
Std,,,,,,,0.0,0.0
