Execution,HD_P1_mean,HD_P2_mean,HD_P1_std,HD_P2_std,HD_BM_mean,HD_BM_std,succ_crossover,succ_mutation
1,3.9,4.066666666666666,3.387095185125958,3.3930286880839837,,,2.7222222222222223,0.6666666666666666
2,3.3,3.3,3.5926169503196603,3.5926169503196603,,,1.5555555555555556,0.0
3,1.8,1.8,2.8575369186380275,2.8575369186380275,,,0.8333333333333334,0.0
4,4.3,4.133333333333334,3.374856318780667,3.287734083270551,,,1.0555555555555556,0.0
5,3.3,3.2333333333333334,2.4090347186917147,2.6087826905353353,,,1.6666666666666667,0.0
Mean,3.3200000000000003,3.306666666666667,,,,,1.5666666666666667,0.13333333333333333
Std,0.7754568545917518,0.76772873295677,,,,,0.5978356023250936,0.24343224778007383
