Execution,HD_P1_mean,HD_P2_mean,HD_P1_std,HD_P2_std,HD_BM_mean,HD_BM_std,succ_crossover,succ_mutation
1,3.9,3.7333333333333334,2.617579824557607,2.490441497119479,1.1714285714285715,1.0427823157223148,1.4444444444444444,3.7777777777777777
2,4.6,4.6,2.7492945803706035,2.7492945803706035,1.3823529411764706,0.9539298583690822,2.4444444444444446,3.888888888888889
3,3.8666666666666667,3.533333333333333,2.9447010659515325,2.556038601690775,1.4242424242424243,1.2997668788647985,2.111111111111111,5.0
4,2.7666666666666666,2.7666666666666666,2.4730733822559707,2.4730733822559707,1.4857142857142858,1.010865341920376,1.4444444444444444,3.5555555555555554
5,2.7666666666666666,2.7,2.5955310842283126,2.4795717094024456,1.6857142857142857,0.9000466841300208,1.2222222222222223,4.0
Mean,3.5799999999999996,3.4666666666666663,,,1.4298905016552075,,1.7333333333333336,4.044444444444444
Std,0.6516645353758838,0.637413755967265,,,0.15146858484417888,,0.42358454682950514,0.45632275055589455
