counts,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
SPC_MNUF,84,106,71,63,64,48,23,25,23
SPC_MPOLY,98,92,76,85,68,63,20,20,24
SPC_NONE,69,87,63,59,46,50,22,11,16
TPC_MNUF,64,77,54,54,55,43,15,22,22
TPC_MPOLY,63,60,69,54,58,41,13,19,16
TPC_NONE,64,56,49,43,44,38,11,9,13
UC_MNUF,22,20,15,17,20,16,12,1,5
UC_MPOLY,17,25,14,13,17,12,8,4,3
UC_NONE,26,20,12,22,20,13,5,4,5
