GO_Name,Mean_Stationary_Probability
SBX_MPOLY,0.350241
SPC_MPOLY,0.130842
TPC_MPOLY,0.094345
SBX_NONE,0.046718
NONE_MPOLY,0.059918
UC_MPOLY,0.088122
SBX_MNUF,0.077946
TPC_MNUF,0.033738
SPC_MNUF,0.034216
UC_MNUF,0.030347
UC_NONE,0.013466
NONE_MNUF,0.016952
SPC_NONE,0.011155
TPC_NONE,0.011992
