counts,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
NONE_MNUF,1,3,4,17,2,6,5,1,2,5,1,3,3,0
NONE_MPOLY,3,15,11,59,15,5,27,0,3,20,1,3,11,2
SBX_MNUF,6,11,29,77,8,8,25,3,4,20,2,15,17,5
SBX_MPOLY,15,60,83,428,43,33,138,5,34,87,5,24,69,6
SBX_NONE,2,7,8,35,16,6,21,1,6,9,0,5,21,0
SPC_MNUF,1,9,12,31,4,7,7,2,8,8,1,4,8,3
SPC_MPOLY,3,27,22,119,16,11,65,2,5,45,5,11,48,4
SPC_NONE,0,3,1,5,1,0,6,4,0,3,4,1,3,3
TPC_MNUF,3,3,5,38,6,4,10,1,10,13,2,6,4,2
TPC_MPOLY,6,15,18,87,10,10,31,1,12,33,3,8,44,3
TPC_NONE,2,2,1,5,1,3,4,5,2,0,5,0,1,6
UC_MNUF,3,3,12,32,2,6,8,1,7,4,3,6,7,1
UC_MPOLY,6,16,20,97,12,2,32,4,8,32,3,1,24,3
UC_NONE,1,3,4,8,2,2,8,4,0,1,2,4,1,3
