HV,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
NONE_MNUF,0.018868,0.056604,0.075472,0.320755,0.037736,0.113208,0.094340,0.018868,0.037736,0.094340,0.018868,0.056604,0.056604,0.000000
NONE_MPOLY,0.017143,0.085714,0.062857,0.337143,0.085714,0.028571,0.154286,0.000000,0.017143,0.114286,0.005714,0.017143,0.062857,0.011429
SBX_MNUF,0.026087,0.047826,0.126087,0.334783,0.034783,0.034783,0.108696,0.013043,0.017391,0.086957,0.008696,0.065217,0.073913,0.021739
SBX_MPOLY,0.014563,0.058252,0.080583,0.415534,0.041748,0.032039,0.133981,0.004854,0.033010,0.084466,0.004854,0.023301,0.066990,0.005825
SBX_NONE,0.014599,0.051095,0.058394,0.255474,0.116788,0.043796,0.153285,0.007299,0.043796,0.065693,0.000000,0.036496,0.153285,0.000000
SPC_MNUF,0.009524,0.085714,0.114286,0.295238,0.038095,0.066667,0.066667,0.019048,0.076190,0.076190,0.009524,0.038095,0.076190,0.028571
SPC_MPOLY,0.007833,0.070496,0.057441,0.310705,0.041775,0.028721,0.169713,0.005222,0.013055,0.117493,0.013055,0.028721,0.125326,0.010444
SPC_NONE,0.000000,0.088235,0.029412,0.147059,0.029412,0.000000,0.176471,0.117647,0.000000,0.088235,0.117647,0.029412,0.088235,0.088235
TPC_MNUF,0.028037,0.028037,0.046729,0.355140,0.056075,0.037383,0.093458,0.009346,0.093458,0.121495,0.018692,0.056075,0.037383,0.018692
TPC_MPOLY,0.021352,0.053381,0.064057,0.309609,0.035587,0.035587,0.110320,0.003559,0.042705,0.117438,0.010676,0.028470,0.156584,0.010676
TPC_NONE,0.054054,0.054054,0.027027,0.135135,0.027027,0.081081,0.108108,0.135135,0.054054,0.000000,0.135135,0.000000,0.027027,0.162162
UC_MNUF,0.031579,0.031579,0.126316,0.336842,0.021053,0.063158,0.084211,0.010526,0.073684,0.042105,0.031579,0.063158,0.073684,0.010526
UC_MPOLY,0.023077,0.061538,0.076923,0.373077,0.046154,0.007692,0.123077,0.015385,0.030769,0.123077,0.011538,0.003846,0.092308,0.011538
UC_NONE,0.023256,0.069767,0.093023,0.186047,0.046512,0.046512,0.186047,0.093023,0.000000,0.023256,0.046512,0.093023,0.023256,0.069767
