Execution,Accuracy,FLOPs,Num_Params,cm_precision_macro,cm_recall_macro,cm_f1_macro,Top1,Top5
3,0.707400024,433518188.0,5837604.0,0.709856425,0.6954,0.696918154,0.6954,0.9115
Mean,0.707400024,433518188.0,5837604.0,0.709856425,0.6954,0.696918154,0.6954,0.9115
Std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
