Execution,Accuracy,FLOPs,Num_Params,cm_precision_macro,cm_recall_macro,cm_f1_macro,Top1,Top5
21,0.685800016,769086508.0,3522980.0,0.697607256,0.6836,0.684286242,0.683600008,0.9057
Mean,0.685800016,769086508.0,3522980.0,0.697607256,0.6836,0.684286242,0.683600008,0.9057
Std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
