Execution,Accuracy,FLOPs,Num_Params,cm_precision_macro,cm_recall_macro,cm_f1_macro,Top1,Top5
1,0.709999979,1456926700.0,5655588.0,0.719558115,0.7062,0.70754056,0.706200004,0.9188
Mean,0.709999979,1456926700.0,5655588.0,0.719558115,0.7062,0.70754056,0.706200004,0.9188
Std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
