Execution,Accuracy,FLOPs,Num_Params,cm_precision_macro,cm_recall_macro,cm_f1_macro,Top1,Top5
17,0.67019999,634685164.0,3110436.0,0.692889475,0.6788,0.679835521,0.678799987,0.8959
Mean,0.67019999,634685164.0,3110436.0,0.692889475,0.6788,0.679835521,0.678799987,0.8959
Std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
