Execution,Accuracy,FLOPs,Num_Params,cm_precision_macro,cm_recall_macro,cm_f1_macro,Top1,Top5
8,0.715399981,446069484.0,3701284.0,0.717525127,0.7041,0.705602801,0.704100013,0.9175
Mean,0.715399981,446069484.0,3701284.0,0.717525127,0.7041,0.705602801,0.704100013,0.9175
Std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
