Execution,Accuracy,FLOPs,Num_Params,cm_precision_macro,cm_recall_macro,cm_f1_macro,Top1,Top5
2,0.7148,1188392940.0,8018980.0,0.721417791,0.7088,0.71013618,0.708800018,0.9161
Mean,0.7148,1188392940.0,8018980.0,0.721417791,0.7088,0.71013618,0.708800018,0.9161
Std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
