Execution,Accuracy,FLOPs,Num_Params,cm_precision_macro,cm_recall_macro,cm_f1_macro,Top1,Top5
14,0.671599984,886818732.0,4984484.0,0.683255273,0.6678,0.668081914,0.667800009,0.8995
Mean,0.671599984,886818732.0,4984484.0,0.683255273,0.6678,0.668081914,0.667800009,0.8995
Std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
