Execution,Accuracy,FLOPs,Num_Params,cm_precision_macro,cm_recall_macro,cm_f1_macro,Top1,Top5
3,0.716600001,1421811820.0,7703332.0,0.716323447,0.7033,0.704437813,0.703299999,0.9158
Mean,0.716600001,1421811820.0,7703332.0,0.716323447,0.7033,0.704437813,0.703299999,0.9158
Std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
