Execution,Accuracy,FLOPs,Num_Params,cm_precision_macro,cm_recall_macro,cm_f1_macro,Top1,Top5
26,0.692799985,505519148.0,4472228.0,0.707754918,0.6958,0.696812949,0.695800006,0.9075
Mean,0.692799985,505519148.0,4472228.0,0.707754918,0.6958,0.696812949,0.695800006,0.9075
Std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
