Execution,Accuracy,FLOPs,Num_Params,cm_precision_macro,cm_recall_macro,cm_f1_macro,Top1,Top5
8,0.688000023,918037548.0,3222948.0,0.697263234,0.6837,0.684831794,0.683700025,0.9095
Mean,0.688000023,918037548.0,3222948.0,0.697263234,0.6837,0.684831794,0.683700025,0.9095
Std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
