Execution,Accuracy,FLOPs,Num_Params,cm_precision_macro,cm_recall_macro,cm_f1_macro,Top1,Top5
11,0.705600023,887885292.0,8496164.0,0.713059201,0.6995,0.701378745,0.699500024,0.9144
Mean,0.705600023,887885292.0,8496164.0,0.713059201,0.6995,0.701378745,0.699500024,0.9144
Std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
