Execution,Accuracy,FLOPs,Num_Params,cm_precision_macro,cm_recall_macro,cm_f1_macro,Top1,Top5
10,0.708599985,1077034476.0,4695076.0,0.715801918,0.7049,0.705495827,0.704900026,0.916
Mean,0.708599985,1077034476.0,4695076.0,0.715801918,0.7049,0.705495827,0.704900026,0.916
Std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
