Execution,Accuracy,FLOPs,Num_Params,cm_precision_macro,cm_recall_macro,cm_f1_macro,Top1,Top5
10,0.711600006,749285420.0,6334884.0,0.710640696,0.6997,0.700384193,0.699699998,0.9124
Mean,0.711600006,749285420.0,6334884.0,0.710640696,0.6997,0.700384193,0.699699998,0.9124
Std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
