Execution,Accuracy,FLOPs,Num_Params,cm_precision_macro,cm_recall_macro,cm_f1_macro,Top1,Top5
17,0.685599983,496267116.0,3351844.0,0.699205649,0.6868,0.687685588,0.686800003,0.9033
Mean,0.685599983,496267116.0,3351844.0,0.699205649,0.6868,0.687685588,0.686800003,0.9033
Std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
