Execution,Generation,HD_P1,HD_P2,HD_BM,HD_PB,Succ_Crossover_ratio,Succ_Mutation_ratio,NFHT,HV
3,5.0,0.125,0.875,0.5,0.5,0.15,0.42,0.1666666666666666,0.6994115100331402
3,6.0,0.875,0.125,0.125,0.125,0.12,0.465,0.2,0.7029032888255763
3,7.0,0.875,0.125,0.125,0.0,0.14,0.27,0.2,0.7034779703432694
3,8.0,0.875,0.125,0.125,0.0,0.18,0.33,0.2,0.7076099171752793
3,9.0,0.875,0.125,0.125,0.0,0.18,0.365,0.2,0.7093895381878819
3,10.0,0.875,0.125,0.125,0.0,0.13,0.33,0.2,0.7094559501227986
3,11.0,0.875,0.125,0.125,0.0,0.11,0.3,0.2,0.7096199126155488
3,12.0,0.875,0.125,0.125,0.0,0.09,0.345,0.2,0.7102365414843517
3,13.0,0.875,0.125,0.125,0.0,0.13,0.31,0.2,0.7104599123438615
3,14.0,0.875,0.125,0.125,0.0,0.07,0.285,0.2,0.7104777611331565
3,15.0,0.0,0.0,0.375,0.375,0.12,0.34,0.5,0.71095020802416
3,16.0,0.0,0.0,0.25,0.25,0.1,0.28,0.5333333333333333,0.713325109268659
3,17.0,0.0,0.0,0.25,0.0,0.14,0.31,0.5333333333333333,0.7133472256472395
3,18.0,0.0,0.0,0.25,0.0,0.08,0.245,0.5333333333333333,0.7166057966962913
3,19.0,0.0,0.0,0.125,0.5,0.13,0.285,0.6333333333333333,0.7204101866785964
3,20.0,0.0,0.0,0.125,0.0,0.1,0.245,0.6333333333333333,0.7204463121343722
3,21.0,0.0,0.0,0.125,0.0,0.15,0.285,0.6333333333333333,0.7206410622860949
3,22.0,0.0,0.0,0.125,0.0,0.13,0.285,0.6333333333333333,0.7213879280278104
3,23.0,0.0,0.0,0.125,0.0,0.15,0.235,0.6333333333333333,0.7213896231370236
3,24.0,0.0,0.0,0.125,0.0,0.16,0.295,0.6333333333333333,0.7214485354732512
3,25.0,0.0,0.0,0.125,0.0,0.11,0.23,0.6333333333333333,0.7220146173132508
3,26.0,0.0,0.0,0.125,0.0,0.12,0.235,0.6333333333333333,0.7223640313606785
3,27.0,0.0,0.0,0.125,0.0,0.12,0.295,0.6333333333333333,0.7223852486767031
3,28.0,0.0,0.0,0.125,0.0,0.09,0.295,0.6333333333333333,0.7225257690266037
3,29.0,0.0,0.0,0.125,0.0,0.11,0.25,0.6333333333333333,0.722836535748753
3,30.0,0.0,0.0,0.125,0.0,0.12,0.205,0.6333333333333333,0.7233998520708549
3,30.0,0.0,0.0,0.125,0.0,0.12,0.205,0.6333333333333333,0.7233998520708549
4,1.0,0.0,0.0,0.5,0.0,0.25,0.41,0.0333333333333333,0.6728653620480743
4,2.0,0.0,0.0,0.5,0.0,0.19,0.46,0.0333333333333333,0.68209411277741
