CROSS,SPC_MPAR,SPC_MSWAP,SPC_NONE,TPC_MPAR,TPC_MSWAP,TPC_NONE,UC_MPAR,UC_MSWAP,UC_NONE
SPC_MPAR,0.101852,0.092593,0.101852,0.129630,0.185185,0.083333,0.111111,0.101852,0.092593
SPC_MSWAP,0.093023,0.046512,0.023256,0.139535,0.162791,0.069767,0.162791,0.139535,0.162791
SPC_NONE,0.086957,0.115942,0.115942,0.188406,0.115942,0.101449,0.072464,0.130435,0.072464
TPC_MPAR,0.079137,0.158273,0.064748,0.179856,0.129496,0.151079,0.079137,0.100719,0.057554
TPC_MSWAP,0.096774,0.120968,0.048387,0.177419,0.112903,0.145161,0.080645,0.120968,0.096774
TPC_NONE,0.118812,0.069307,0.099010,0.158416,0.128713,0.099010,0.089109,0.138614,0.099010
UC_MPAR,0.044444,0.122222,0.077778,0.133333,0.111111,0.133333,0.133333,0.111111,0.133333
UC_MSWAP,0.125000,0.083333,0.125000,0.072917,0.177083,0.114583,0.135417,0.083333,0.083333
UC_NONE,0.080460,0.045977,0.080460,0.252874,0.137931,0.114943,0.068966,0.091954,0.126437
