DHV,NONE_MPAR,NONE_MSWAP,SPC_MPAR,SPC_MSWAP,SPC_NONE,TPC_MPAR,TPC_MSWAP,TPC_NONE,UC_MPAR,UC_MSWAP,UC_NONE
NONE_MPAR,0.000000,0.000000,0.194030,0.074627,0.164179,0.074627,0.134328,0.074627,0.089552,0.014925,0.179104
NONE_MSWAP,0.000000,0.000000,0.090909,0.090909,0.181818,0.090909,0.090909,0.090909,0.090909,0.227273,0.045455
SPC_MPAR,0.068966,0.020690,0.248276,0.048276,0.096552,0.117241,0.089655,0.075862,0.062069,0.082759,0.089655
SPC_MSWAP,0.062500,0.015625,0.125000,0.015625,0.046875,0.187500,0.140625,0.156250,0.078125,0.031250,0.140625
SPC_NONE,0.089888,0.033708,0.089888,0.056180,0.022472,0.112360,0.112360,0.202247,0.134831,0.089888,0.056180
TPC_MPAR,0.107843,0.029412,0.098039,0.098039,0.127451,0.039216,0.117647,0.078431,0.137255,0.088235,0.078431
TPC_MSWAP,0.102273,0.034091,0.136364,0.034091,0.136364,0.125000,0.011364,0.102273,0.090909,0.068182,0.159091
TPC_NONE,0.058140,0.034884,0.162791,0.127907,0.093023,0.127907,0.139535,0.023256,0.081395,0.081395,0.069767
UC_MPAR,0.100000,0.000000,0.062500,0.125000,0.087500,0.112500,0.087500,0.150000,0.012500,0.137500,0.125000
UC_MSWAP,0.086957,0.028986,0.072464,0.043478,0.130435,0.159420,0.115942,0.101449,0.072464,0.057971,0.130435
UC_NONE,0.090909,0.045455,0.113636,0.102273,0.090909,0.125000,0.090909,0.068182,0.170455,0.068182,0.034091
