State,Stationary_Probability
SPC_NONE,0.174012
SPC_MNUF,0.165665
SPC_MPOLY,0.151579
TPC_NONE,0.141891
TPC_MPOLY,0.139155
TPC_MNUF,0.098556
UC_NONE,0.070511
UC_MPOLY,0.038290
UC_MNUF,0.020341
SBX_MNUF,0.000000
SBX_MPOLY,0.000000
SBX_NONE,0.000000
