State,Stationary_Probability
SPC_NONE,0.236485
TPC_NONE,0.210753
UC_NONE,0.201662
TPC_MPOLY,0.081742
UC_MPOLY,0.081704
SPC_MPOLY,0.061689
TPC_MNUF,0.040206
SBX_MPOLY,0.031003
UC_MNUF,0.020301
SPC_MNUF,0.017802
SBX_MNUF,0.008901
NONE_MNUF,0.007751
NONE_MPOLY,0.000000
SBX_NONE,0.000000
