Execution,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params
1,0.7833400546333581,-99999.0,501777022.0,-359996400.0,11439946.0
2,0.7763643455295772,-99999.0,580667230.0,-359996400.0,6741642.0
3,0.7800005937745652,-99999.0,323974590.0,-359996400.0,5498058.0
4,0.7804307713859057,-99999.0,347649566.0,-359996400.0,9033354.0
5,0.7857806964388877,-99999.0,773249406.0,-359996400.0,11140138.0
6,0.7805546051768978,-99999.0,319299150.0,-359996400.0,5903210.0
7,0.7767905249173627,-99999.0,248220382.0,-359996400.0,5422090.0
8,0.7754399729835026,-99999.0,633627566.0,-359996400.0,1118282.0
9,0.781908689442425,-99999.0,774926558.0,-359996400.0,4187146.0
10,0.7816013176469538,-99999.0,837736830.0,-359996400.0,19872394.0
Mean,0.7802211571929435,-99999.0,534112830.0,-359996400.0,8035626.0
Std,0.0030837693849222144,0.0,206709270.2179055,0.0,4944530.189616805
