Genetic_operators,Times_Used,Pareto_Appearances
SPC_MPAR,20,52
SPC_MSWAP,18,54
TPC_MPAR,11,44
TPC_MSWAP,18,45
UC_MPAR,16,56
UC_MSWAP,17,56
