Genetic_operators,Times_Used,Pareto_Appearances
SPC_MPAR,18,57
SPC_MSWAP,18,57
TPC_MPAR,16,52
TPC_MSWAP,14,50
UC_MPAR,17,56
UC_MSWAP,17,50
