MUT,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SPC_MNUF,SPC_MPOLY,TPC_MPOLY,UC_MPOLY
NONE_MNUF,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
NONE_MPOLY,0.000000,0.048718,0.102564,0.769231,0.000000,0.025641,0.025641,0.028205
SBX_MNUF,0.000000,0.031496,0.225066,0.708005,0.000000,0.009186,0.013123,0.013123
SBX_MPOLY,0.000000,0.034474,0.145243,0.773918,0.000000,0.014297,0.015901,0.016168
SPC_MNUF,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
SPC_MPOLY,0.000000,0.082278,0.132911,0.727848,0.000000,0.025316,0.018987,0.012658
TPC_MPOLY,0.000000,0.054545,0.096970,0.757576,0.000000,0.036364,0.030303,0.024242
UC_MPOLY,0.000000,0.057803,0.098266,0.763006,0.000000,0.040462,0.028902,0.011561
