Operator,Count
SPC_MPOLY,13
SBX_MPOLY,11
UC_MNUF,4
SPC_MNUF,2
TPC_MPOLY,15
UC_MPOLY,12
TPC_MNUF,2
SPC_NONE,6
TPC_NONE,12
UC_NONE,18
NONE_MPOLY,4
SBX_NONE,1
