ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by
BKHNMG,1,2,4,4,0.04,True,False,"[40, 3, 21, 38, 50, 38, 22, 14]","['111100', '000010', '011111', '110101', '101011', '110101', '011101', '001001']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 5]}, {'CONV': [32, 3]}), ({'CONV': [32, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6945211151226253,,,,1135639040,2701732,,,,,,,0.6957995004000335,0.0094974147013662,0.625,0.375,0.0,1.0,0.04,24,0,100,0,0.24,0.0,BEST,False,False,333,True,True,GREEDY,UC_NONE,CROSS
BILEGI,1,2,5,5,0.05,True,False,"[40, 55, 50, 38, 50, 38, 22, 14]","['111100', '101100', '101011', '110101', '101011', '110101', '011101', '001001']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 5]}, {'CONV': [32, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.699523636404126,,,,4737432064,4777508,,,,,,,0.7008901870943385,-0.0038192722283243,0.25,0.75,0.0,0.25,0.05,20,0,100,0,0.2,0.0,BEST,False,False,306,True,True,GREEDY,TPC_NONE,CROSS
BDKAVS,1,2,7,7,0.07,True,False,"[28, 10, 13, 38, 50, 38, 21, 23]","['010010', '001111', '001011', '110101', '101011', '110101', '011111', '011100']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [128, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7005955187315459,,,,1088568320,2870308,,,,,,,0.703218934942255,0.0013782884701165,0.875,0.125,0.0,0.625,0.07,23,0,100,0,0.23,0.0,BEST,False,False,302,True,True,GREEDY,UC_NONE,CROSS
BQOXMW,1,2,8,8,0.08,True,False,"[28, 10, 13, 38, 50, 38, 63, 23]","['010010', '001111', '001011', '110101', '101011', '110101', '100000', '011100']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [128, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7026900061323168,,,,1184538624,5869860,,,,,,,0.7094807862379078,0.0062618512956528,0.125,0.625,0.0,0.125,0.08,17,0,100,0,0.17,0.0,BEST,False,False,277,True,True,GREEDY,TPC_NONE,CROSS
BDVLPZ,1,2,9,9,0.09,True,False,"[3, 10, 18, 38, 14, 14, 21, 23]","['000010', '001111', '011011', '110101', '001001', '001001', '011111', '011100']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 5]}), ({'CONV': [32, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7032342473931278,,,,616135680,2009124,,,,,,,0.7118276235897658,0.005309206300634,0.75,0.125,0.0,0.625,0.09,17,0,100,0,0.17,0.0,BEST,False,False,271,True,True,GREEDY,TPC_NONE,CROSS
BKMFUE,1,2,11,11,0.11,True,False,"[25, 3, 21, 38, 46, 14, 21, 23]","['010101', '000010', '011111', '110101', '111001', '001001', '011111', '011100']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [32, 5]}), ({'CONV': [32, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7042715541513209,,,,1000027136,3161764,,,,,,,0.7138929325699286,0.0051295412962962,0.125,0.625,0.0,0.5,0.11,23,0,100,0,0.23,0.0,BEST,False,False,260,True,True,GREEDY,UC_NONE,CROSS
BPKCHJ,1,2,14,14,0.14,True,False,"[25, 10, 4, 38, 46, 38, 21, 23]","['010101', '001111', '000110', '110101', '111001', '110101', '011111', '011100']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [32, 5]}), ({'CONV': [32, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7112815102785246,,,,910887936,3270564,,,,,,,0.7231957926204734,0.0049251779604676,0.25,0.375,0.0,0.375,0.14,18,0,100,0,0.18,0.0,BEST,False,False,171,True,True,GREEDY,UC_NONE,CROSS
BIJUWA,1,2,18,18,0.18,True,False,"[3, 10, 4, 38, 46, 38, 21, 23]","['000010', '001111', '000110', '110101', '111001', '110101', '011111', '011100']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 5]}), ({'CONV': [32, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7112815102785246,,,,791350272,3212196,,,,,,,0.7263481097794818,0.0010013579516598,0.125,0.125,0.0,0.125,0.18,12,0,100,0,0.12,0.0,BEST,False,False,171,True,True,GREEDY,UC_NONE,CROSS
BFSHLU,1,2,20,20,0.2,True,False,"[2, 10, 4, 38, 46, 38, 21, 23]","['000011', '001111', '000110', '110101', '111001', '110101', '011111', '011100']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7118843771880572,,,,724241408,3179428,,,,,,,0.7271369104634846,0.0006502820337818,0.125,0.375,0.0,0.125,0.2,12,0,100,0,0.12,0.0,BEST,False,False,155,True,True,GREEDY,UC_NONE,CROSS
BCFBLG,1,2,23,23,0.23,True,False,"[0, 10, 4, 38, 46, 6, 63, 23]","['000000', '001111', '000110', '110101', '111001', '000101', '100000', '011100']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [32, 3]}), ({'CONV': [32, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7127788799331888,,,,692090880,5701284,,,,,,,0.7276617496245098,0.0001320345214791,0.125,0.25,0.0,0.375,0.23,8,0,100,0,0.08,0.0,BEST,False,False,142,True,True,GREEDY,SPC_NONE,CROSS
