HV,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
NONE_MNUF,0.200000,0.000000,0.000000,0.133333,0.066667,0.066667,0.066667,0.000000,0.066667,0.066667,0.000000,0.066667,0.000000,0.266667
NONE_MPOLY,0.000000,0.031250,0.015625,0.125000,0.000000,0.015625,0.046875,0.203125,0.015625,0.046875,0.187500,0.015625,0.109375,0.187500
SBX_MNUF,0.000000,0.062500,0.000000,0.125000,0.031250,0.062500,0.093750,0.125000,0.125000,0.093750,0.125000,0.093750,0.000000,0.062500
SBX_MPOLY,0.004184,0.020921,0.029289,0.117155,0.025105,0.000000,0.050209,0.217573,0.012552,0.054393,0.196653,0.016736,0.066946,0.188285
SBX_NONE,0.000000,0.022472,0.000000,0.067416,0.044944,0.022472,0.044944,0.191011,0.011236,0.067416,0.157303,0.011236,0.044944,0.314607
SPC_MNUF,0.018519,0.000000,0.074074,0.111111,0.037037,0.055556,0.037037,0.092593,0.074074,0.018519,0.203704,0.092593,0.055556,0.129630
SPC_MPOLY,0.006494,0.019481,0.000000,0.071429,0.038961,0.012987,0.064935,0.181818,0.012987,0.064935,0.220779,0.006494,0.051948,0.246753
SPC_NONE,0.003226,0.030645,0.001613,0.061290,0.029032,0.014516,0.046774,0.235484,0.011290,0.035484,0.232258,0.014516,0.056452,0.227419
TPC_MNUF,0.000000,0.000000,0.062500,0.020833,0.000000,0.104167,0.020833,0.187500,0.083333,0.000000,0.125000,0.104167,0.020833,0.270833
TPC_MPOLY,0.007299,0.029197,0.007299,0.116788,0.021898,0.000000,0.072993,0.175182,0.000000,0.102190,0.182482,0.007299,0.080292,0.197080
TPC_NONE,0.001565,0.014085,0.006260,0.075117,0.028169,0.012520,0.053208,0.234742,0.015649,0.031299,0.223787,0.007825,0.039124,0.256651
UC_MNUF,0.020408,0.000000,0.061224,0.061224,0.000000,0.163265,0.040816,0.142857,0.102041,0.081633,0.142857,0.020408,0.061224,0.102041
UC_MPOLY,0.000000,0.021429,0.007143,0.085714,0.028571,0.021429,0.071429,0.150000,0.014286,0.050000,0.264286,0.035714,0.035714,0.214286
UC_NONE,0.005797,0.021739,0.007246,0.072464,0.036232,0.014493,0.049275,0.213043,0.010145,0.044928,0.228986,0.011594,0.030435,0.253623
