exec,generation,operator,is_pareto,is_selected,f0,f1,f2
9,1,SPC_MPAR,0,0,-0.5372393111365492,2186416748.0,6459172.0
9,1,SPC_MSWAP,1,1,-0.5546452242418698,634043692.0,3963812.0
9,1,SPC_NONE,0,0,-0.5247032821144064,2014999980.0,4907684.0
9,1,TPC_MPAR,0,0,-0.5266576761353869,2191923820.0,3863332.0
9,1,TPC_MSWAP,0,0,-0.5313670624114802,902812780.0,3225380.0
9,1,TPC_NONE,1,0,-0.5221364450968912,617087020.0,2310052.0
9,1,UC_MPAR,0,0,-0.5285329351636445,1208646956.0,3876772.0
9,1,UC_MSWAP,1,0,-0.532341772149503,530339116.0,2815396.0
9,1,UC_NONE,1,0,-0.5363363801127545,1115480428.0,2312996.0
9,1,NONE_MPAR,0,0,-0.5516361171829037,1666146604.0,5495204.0
9,1,NONE_MSWAP,0,0,-0.5301571906300304,1633339372.0,5198884.0
9,1,NONE_NONE,0,0,-0.5259910880362106,1690945708.0,6323364.0
9,2,SPC_MPAR,0,0,-0.5220096435433266,1186045548.0,4703012.0
9,2,SPC_MSWAP,0,0,-0.5262326692555233,547208044.0,3471652.0
9,2,SPC_NONE,0,0,-0.5363295405962809,4561961132.0,8785060.0
9,2,TPC_MPAR,0,0,-0.5283683730041817,660257068.0,3639204.0
9,2,TPC_MSWAP,0,0,-0.5274444304639315,1267271724.0,3649444.0
9,2,TPC_NONE,1,1,-0.5372794399183598,383817708.0,2973220.0
9,2,UC_MPAR,1,0,-0.5472567070609092,1684553132.0,5199524.0
9,2,UC_MSWAP,0,0,-0.5214466198063907,3068349740.0,5329828.0
9,2,UC_NONE,0,0,-0.5319140694334971,988234028.0,5916580.0
9,2,NONE_MPAR,1,0,-0.5367215602672422,1240777452.0,2948644.0
9,2,NONE_MSWAP,1,0,-0.5083580962078598,513164460.0,2636964.0
9,2,NONE_NONE,1,0,-0.5445956608538715,2165795628.0,3278756.0
9,3,SPC_MPAR,1,1,-0.529779327953597,1288297964.0,2498596.0
9,3,SPC_MSWAP,0,0,-0.5232271717981352,1212180012.0,3796388.0
9,3,SPC_NONE,0,0,-0.538623377664293,1350897004.0,4657444.0
9,3,TPC_MPAR,0,0,-0.5463831575615675,1077736428.0,5393956.0
9,3,TPC_MSWAP,0,0,-0.5449253177226855,721076908.0,4025508.0
9,3,TPC_NONE,1,0,-0.5507530377242748,614330220.0,3792676.0
9,3,UC_MPAR,0,0,-0.5478194529162623,667407916.0,4149668.0
9,3,UC_MSWAP,1,0,-0.5211671956564069,434297004.0,1738404.0
9,3,UC_NONE,0,0,-0.5402651083734475,2554371308.0,4607524.0
9,3,NONE_MPAR,1,0,-0.5430473222042079,584385644.0,4845348.0
9,3,NONE_MSWAP,1,0,-0.5275640941346992,1013441004.0,2079780.0
9,3,NONE_NONE,0,0,-0.5238077812917231,1850031020.0,8476324.0
9,4,SPC_MPAR,1,1,-0.5558380984611878,721166188.0,3133220.0
9,4,SPC_MSWAP,1,0,-0.5316493549784864,516466988.0,3707812.0
9,4,SPC_NONE,0,0,-0.5386340063632392,1861601836.0,8787364.0
9,4,TPC_MPAR,1,0,-0.5311565245769575,689328748.0,3130148.0
9,4,TPC_MSWAP,0,0,-0.527125755261401,1301533292.0,7336740.0
9,4,TPC_NONE,0,0,-0.546450080536882,1564494252.0,6373028.0
9,4,UC_MPAR,0,0,-0.5193757959609436,837968812.0,4618916.0
9,4,UC_MSWAP,0,0,-0.5259596051652526,1175012652.0,4866980.0
9,4,UC_NONE,1,0,-0.5497432308789196,709888940.0,2636452.0
9,4,NONE_MPAR,0,0,-0.5234574462447527,3483473644.0,8051236.0
9,4,NONE_MSWAP,1,0,-0.5354620119416893,940717292.0,2462244.0
9,4,NONE_NONE,0,0,-0.5304884859033373,930914412.0,6188836.0
9,5,SPC_MPAR,0,0,-0.5457791295923792,1193175340.0,5543844.0
9,5,SPC_MSWAP,1,1,-0.5440316473877054,552262508.0,2280228.0
9,5,SPC_NONE,0,0,-0.5331132020478577,1330477228.0,6892708.0
9,5,TPC_MPAR,0,0,-0.53138451906473,558347884.0,4247332.0
9,5,TPC_MSWAP,0,0,-0.5459007558588366,675313580.0,4326564.0
