Genetic_operators,Times_Used,Pareto_Appearances
SPC_MPAR,20,53
SPC_MSWAP,14,61
TPC_MPAR,9,51
TPC_MSWAP,20,61
UC_MPAR,19,60
UC_MSWAP,18,53
