ID,Seed,Execution,Generation,GenCreation,isChild,isMutant,Integer_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params,P1_idx,P2_idx,P1,P2,Before_Mut,HD_P1,HD_P2,HD_BM,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,Was_invalid,arch_status,Penalization,Trained_Completely,Confusion_matrix,cm_accuracy,cm_precision_macro,cm_recall_macro,cm_f1_macro
JPQEW,,1,1,1,False,False,"[5, 5, 2, 9, 7, 6, 12]","[{'INP': 32}, {'CONV': [128, 5]}, {'CONV': [128, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 5]}, {'CONV': [256, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'LAST_DENSE': [10, 'softmax']}]",UC,MPAR,GA,20,"[0.5085999965667725, 0.7020999789237976, 0.682200014591217, 0.7200000286102295, 0.671500027179718, 0.795799970626831, 0.7734000086784363, 0.7962999939918518, 0.7641000151634216, 0.7443000078201294, 0.8165000081062317, 0.8095999956130981, 0.829200029373169, 0.8019000291824341, 0.8131999969482422, 0.8306000232696533, 0.8450999855995178, 0.8529999852180481, 0.8411999940872192, 0.7985000014305115]","[1.4170258045196533, 0.8393300771713257, 0.9477832317352295, 0.8294346928596497, 1.032244086265564, 0.591946005821228, 0.6683630347251892, 0.5927208065986633, 0.696895182132721, 0.8593482375144958, 0.5370460152626038, 0.5825960040092468, 0.4995957016944885, 0.6094364523887634, 0.5958356857299805, 0.5121451616287231, 0.47693851590156555, 0.4461297392845154, 0.5153155326843262, 0.7213761806488037]",0.798500001,,,,,,,,,,-1,-1,-1,4,1,10,10,0.4,0.1,False,BEST,0,True,,,,,
HKUEO[M],,1,2,2,True,True,"[7, 7, 6, 3, 8, 0, 12]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [256, 5]}, {'CONV': [256, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'LAST_DENSE': [10, 'softmax']}]",UC,MPAR,GA,20,"[0.33169999718666077, 0.5440999865531921, 0.5781000256538391, 0.6722000241279602, 0.7426000237464905, 0.7213000059127808, 0.707099974155426, 0.7476999759674072, 0.7753000259399414, 0.7429999709129333, 0.7598000168800354, 0.8116999864578247, 0.8133000135421753, 0.8052999973297119, 0.7376000285148621, 0.8294000029563904, 0.8194000124931335, 0.8158000111579895, 0.7915999889373779, 0.8251000046730042]","[2.3365137577056885, 1.3849512338638306, 1.2742706537246704, 0.9594581127166748, 0.7314231395721436, 0.8100801706314087, 0.8628920912742615, 0.7231047749519348, 0.6552960276603699, 0.7921682000160217, 0.687391459941864, 0.545965313911438, 0.5443029403686523, 0.5725753903388977, 0.8155854940414429, 0.5018618702888489, 0.5589193105697632, 0.5413224697113037, 0.6589861512184143, 0.5574216246604919]",0.825100005,,,,,,,,,"[1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 2, -1, 0, 1, 0, 0, 5, 2, 0]",8,4,2,9,6,20,20,0.45,0.3,False,BEST,0,True,,,,,
QPLLM[M],,1,3,3,True,True,"[7, 1, 7, 0, 4, 1, 11]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [32, 5]}, {'CONV': [256, 5]}, {'CONV': [32, 3]}, {'CONV': [128, 3]}, {'CONV': [32, 5]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'LAST_DENSE': [10, 'softmax']}]",UC,MPAR,GA,20,"[0.5314000248908997, 0.5590999722480774, 0.579800009727478, 0.6708999872207642, 0.656499981880188, 0.6554999947547913, 0.6197999715805054, 0.7166000008583069, 0.7419000267982483, 0.7590000033378601, 0.770799994468689, 0.7918000221252441, 0.7914999723434448, 0.7699000239372253, 0.8137000203132629, 0.7925999760627747, 0.7735999822616577, 0.8008000254631042, 0.8147000074386597, 0.7936000227928162]","[1.2920794486999512, 1.2711470127105713, 1.2808035612106323, 0.96590656042099, 1.0011166334152222, 1.0647920370101929, 1.1516170501708984, 0.8409711122512817, 0.7536355257034302, 0.7138758301734924, 0.6843891143798828, 0.6005379557609558, 0.604520320892334, 0.7035751938819885, 0.5466766357421875, 0.6165804266929626, 0.6937493085861206, 0.595587432384491, 0.5441927313804626, 0.6281195282936096]",0.793600023,,,,,,,,,"[1, 3, 1, 1, 0, 1, 1, 3, 1, 1, 0, 0, 1, 2, 1, 1, 0, 1, 5, 2, 0]",3,7,1,13,8,30,30,0.433333333,0.266666667,False,BEST,0,True,,,,,
EJPXT[M],,1,4,4,True,True,"[7, 1, 6, 6, 5, 8, 10]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [32, 5]}, {'CONV': [256, 3]}, {'CONV': [256, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'LAST_DENSE': [10, 'softmax']}]",UC,MPAR,GA,20,"[0.49300000071525574, 0.5152000188827515, 0.6577000021934509, 0.6790000200271606, 0.661899983882904, 0.7368999719619751, 0.711899995803833, 0.7354000210762024, 0.7612000107765198, 0.7774999737739563, 0.691100001335144, 0.7602999806404114, 0.7756999731063843, 0.8050000071525574, 0.7856000065803528, 0.7771000266075134, 0.7940999865531921, 0.8201000094413757, 0.7932000160217285, 0.8227999806404114]","[1.4331583976745605, 1.4386154413223267, 0.9493376016616821, 0.8978318572044373, 0.9856345653533936, 0.7672168016433716, 0.8388662338256836, 0.746586263179779, 0.7014134526252747, 0.6528241038322449, 0.9670982360839844, 0.7108235955238342, 0.6501674652099609, 0.5668987035751343, 0.6444101333618164, 0.6808218955993652, 0.6388194561004639, 0.5170941948890686, 0.6653378009796143, 0.5245086550712585]",0.822799981,,,,,,,,,"[1, 3, 1, 1, 0, 1, 1, 3, 0, 1, 3, 0, 1, 2, 1, 2, -1, 0, 5, 1, 0]",7,6,0,19,11,40,40,0.475,0.275,False,BEST,0,True,,,,,
FGFPD[M],,1,5,5,True,True,"[7, 7, 6, 0, 7, 0, 11]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [256, 5]}, {'CONV': [256, 3]}, {'CONV': [32, 3]}, {'CONV': [256, 5]}, {'CONV': [32, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'LAST_DENSE': [10, 'softmax']}]",UC,MPAR,GA,20,"[0.5011000037193298, 0.5407999753952026, 0.6549000144004822, 0.5856999754905701, 0.6503999829292297, 0.7271000146865845, 0.6121000051498413, 0.7457000017166138, 0.7305999994277954, 0.7577000260353088, 0.7639999985694885, 0.7574999928474426, 0.7972000241279602, 0.7247999906539917, 0.8202999830245972, 0.8116999864578247, 0.840399980545044, 0.8500999808311462, 0.8282999992370605, 0.8233000040054321]","[1.400659441947937, 1.389250636100769, 1.0460115671157837, 1.3459528684616089, 1.0376882553100586, 0.8045732378959656, 1.3488340377807617, 0.7468255758285522, 0.7945035099983215, 0.7400564551353455, 0.7023639678955078, 0.7408044338226318, 0.5795959234237671, 0.8842208981513977, 0.5281496644020081, 0.5544102787971497, 0.4721543490886688, 0.4447609782218933, 0.5296146869659424, 0.5257968306541443]",0.823300004,,,,,,,,,"[1, 3, 1, 1, 3, 1, 1, 3, 0, 1, 0, 0, 1, 2, 1, 1, 0, 0, 5, 2, 0]",6,4,1,22,13,50,50,0.44,0.26,False,BEST,0,True,,,,,
TKXTC,,2,1,1,False,False,"[4, 2, 7, 0, 4, 6, 10]","[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [64, 3]}, {'CONV': [256, 5]}, {'CONV': [32, 3]}, {'CONV': [128, 3]}, {'CONV': [256, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'LAST_DENSE': [10, 'softmax']}]",UC,MPAR,GA,20,"[0.5131999850273132, 0.5825999975204468, 0.6093000173568726, 0.6715999841690063, 0.673799991607666, 0.5580999851226807, 0.7412999868392944, 0.7138000130653381, 0.7785000205039978, 0.7766000032424927, 0.7922999858856201, 0.7544999718666077, 0.7706000208854675, 0.7914000153541565, 0.7544000148773193, 0.8101000189781189, 0.7954999804496765, 0.8391000032424927, 0.8366000056266785, 0.835099995136261]","[1.4163600206375122, 1.212991714477539, 1.1918041706085205, 0.9515665173530579, 1.0045368671417236, 1.4592156410217285, 0.7671918869018555, 0.8530842065811157, 0.6736570000648499, 0.6348673105239868, 0.6097217798233032, 0.7504613399505615, 0.6991715431213379, 0.6130379438400269, 0.785012423992157, 0.5794895887374878, 0.6328989863395691, 0.47798559069633484, 0.4797893464565277, 0.4981512725353241]",0.835099995,,,,,,,,,,-1,-1,-1,5,2,10,10,0.5,0.2,False,BEST,0,True,,,,,
LOSRD[M],,2,2,2,True,True,"[0, 6, 5, 2, 8, 7, 12]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [256, 3]}, {'CONV': [128, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 5]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'LAST_DENSE': [10, 'softmax']}]",UC,MPAR,GA,20,"[0.5821999907493591, 0.6951000094413757, 0.6499999761581421, 0.6833000183105469, 0.7444999814033508, 0.7778000235557556, 0.7770000100135803, 0.7943999767303467, 0.8162000179290771, 0.8070999979972839, 0.8141999840736389, 0.802299976348877, 0.8456000089645386, 0.7878999710083008, 0.8596000075340271, 0.8216000199317932, 0.8248000144958496, 0.8489999771118164, 0.8123999834060669, 0.8766999840736389]","[1.2246479988098145, 0.8686555624008179, 1.0472021102905273, 0.9397107362747192, 0.7661993503570557, 0.6573365926742554, 0.6487986445426941, 0.6314785480499268, 0.5333259105682373, 0.5753248333930969, 0.5595961213111877, 0.5896112322807312, 0.45998719334602356, 0.6775081157684326, 0.42200547456741333, 0.5917195081710815, 0.5680973529815674, 0.4538789987564087, 0.6347571015357971, 0.39495065808296204]",0.876699984,,,,,,,,,"[1, 0, 0, 1, 3, 0, 1, 2, 1, 1, 0, 0, 2, -1, 0, 1, 3, 1, 5, 3, 0]",7,4,1,9,6,20,20,0.45,0.3,False,BEST,0,True,,,,,
KDJIF[M],,2,3,3,True,True,"[0, 6, 8, 2, 8, 5, 11]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 5]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'LAST_DENSE': [10, 'softmax']}]",UC,MPAR,GA,20,"[0.6258000135421753, 0.6762999892234802, 0.621399998664856, 0.6600000262260437, 0.7202000021934509, 0.7164999842643738, 0.7239999771118164, 0.7821000218391418, 0.7879999876022339, 0.7799000144004822, 0.7649000287055969, 0.7856000065803528, 0.7839999794960022, 0.8180999755859375, 0.7839000225067139, 0.8227999806404114, 0.7577000260353088, 0.8083000183105469, 0.7997999787330627, 0.8436999917030334]","[1.068645715713501, 0.8876547813415527, 1.0893017053604126, 0.986275315284729, 0.7971723079681396, 0.833224892616272, 0.8407887816429138, 0.6394192576408386, 0.6163209676742554, 0.6524220108985901, 0.6998095512390137, 0.6408330798149109, 0.6449146270751953, 0.5434638261795044, 0.6528027057647705, 0.5202933549880981, 0.7714881300926208, 0.5742804408073425, 0.6127810478210449, 0.46871429681777954]",0.843699992,,,,,,,,,"[1, 0, 0, 1, 3, 0, 2, -1, 0, 1, 1, 0, 2, -1, 0, 1, 2, 1, 5, 2, 0]",2,2,0,13,12,30,30,0.433333333,0.4,False,BEST,0,True,,,,,
AMAUA[M],,2,4,4,True,True,"[5, 2, 8, 2, 9, 5, 12]","[{'INP': 32}, {'CONV': [128, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 5]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'LAST_DENSE': [10, 'softmax']}]",UC,MPAR,GA,20,"[0.43630000948905945, 0.652999997138977, 0.692799985408783, 0.6966999769210815, 0.6876000165939331, 0.7357000112533569, 0.738099992275238, 0.7276999950408936, 0.7797999978065491, 0.7734000086784363, 0.7577999830245972, 0.694599986076355, 0.805899977684021, 0.7893999814987183, 0.7860000133514404, 0.7897999882698059, 0.7670000195503235, 0.7940999865531921, 0.8008999824523926, 0.807699978351593]","[1.6277215480804443, 0.9808761477470398, 0.8929578065872192, 0.857053816318512, 0.8995249271392822, 0.7479541301727295, 0.7485652565956116, 0.7944226264953613, 0.6317263245582581, 0.6434569358825684, 0.6951314210891724, 0.9591333270072937, 0.558428943157196, 0.6294894814491272, 0.627818763256073, 0.6181036233901978, 0.6784887313842773, 0.6184597611427307, 0.5872641205787659, 0.5503323674201965]",0.807699978,,,,,,,,,"[1, 2, 1, 1, 1, 0, 2, -1, 0, 1, 1, 0, 2, -1, 1, 1, 2, 0, 5, 3, 0]",3,5,1,14,18,40,40,0.35,0.45,False,BEST,0,True,,,,,
NZLMU[M],,2,5,5,True,True,"[5, 6, 5, 0, 9, 0, 10]","[{'INP': 32}, {'CONV': [128, 5]}, {'CONV': [256, 3]}, {'CONV': [128, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'LAST_DENSE': [10, 'softmax']}]",UC,MPAR,GA,20,"[0.4499000012874603, 0.5795000195503235, 0.5874999761581421, 0.6319000124931335, 0.7044000029563904, 0.6395999789237976, 0.6568999886512756, 0.7386000156402588, 0.7161999940872192, 0.7444999814033508, 0.7034000158309937, 0.7064999938011169, 0.7688999772071838, 0.7602999806404114, 0.724399983882904, 0.7876999974250793, 0.770799994468689, 0.7865999937057495, 0.7692999839782715, 0.7684000134468079]","[1.5192530155181885, 1.1492429971694946, 1.2240605354309082, 1.0187820196151733, 0.8364655375480652, 1.0764893293380737, 1.0392330884933472, 0.7571150660514832, 0.8160291314125061, 0.7288682460784912, 0.8815360069274902, 0.8588051795959473, 0.6676304936408997, 0.6887636780738831, 0.8044677972793579, 0.6107192039489746, 0.6566316485404968, 0.6118987202644348, 0.6724774837493896, 0.6775792837142944]",0.768400013,,,,,,,,,"[1, 2, 1, 1, 3, 0, 1, 2, 1, 1, 0, 0, 2, -1, 1, 1, 0, 0, 5, 1, 0]",4,6,0,18,19,50,50,0.36,0.38,False,BEST,0,True,,,,,
