counts,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
SPC_MNUF,84,90,70,53,64,41,27,24,17
SPC_MPOLY,104,116,82,63,62,52,21,27,27
SPC_NONE,63,84,65,44,49,55,10,19,18
TPC_MNUF,53,73,43,48,52,46,26,14,20
TPC_MPOLY,66,63,48,57,55,47,22,22,20
TPC_NONE,38,61,48,53,49,35,17,19,12
UC_MNUF,16,22,25,20,19,21,6,8,8
UC_MPOLY,20,24,14,17,24,18,10,6,12
UC_NONE,27,20,15,19,27,16,6,8,4
