Execution,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params
1,0.7817810046672821,-99999.0,2721256286.0,-359996400.0,19423818.0
2,0.784657793601354,-99999.0,1108846110.0,-359996400.0,34614890.0
3,0.7774531021927085,-99999.0,1090293662.0,-359996400.0,9449546.0
4,0.778649001121521,-99999.0,2273417886.0,-359996400.0,19430922.0
5,0.7835900258386418,-99999.0,2492384670.0,-359996400.0,7846154.0
Mean,0.7812261854843016,-99999.0,1937239722.8,-359996400.0,18153066.0
Std,0.002776671985694035,0.0,698489405.620247,0.0,9552204.681384921
