Execution,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params
1,0.7839667427454675,-99999.0,1084413870.0,-359996400.0,5239210.0
2,0.7947613336642583,-99999.0,5327432734.0,-359996400.0,139301386.0
3,0.7778677080273627,-99999.0,315117086.0,-359996400.0,2637258.0
4,0.7905029970407486,-99999.0,2723751390.0,-359996400.0,19758986.0
5,0.7955262495577335,-99999.0,2533533790.0,-359996400.0,69528522.0
Mean,0.7885250062071142,-99999.0,2396849774.0,-359996400.0,47293072.4
Std,0.006725732772318266,0.0,1718718281.6629179,0.0,51924445.12327143
